,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,3.574,14.542
1,,Alemanha,21.174,65.359
2,,Argentina,469.547,1.304.986
3,,Austrália,7.426,15.190
4,,Áustria,909,9.399
5,,Bermudas,-,-
6,,Bahamas,-,-
7,,Bélgica,-,-
8,,Brasil,3.491,106.310
9,,Bulgária,-,-
10,,Canada,-,-
11,,Chile,253.225,775.535
12,,Croácia,-,-
13,,Cuba,-,-
14,,Emirados Árabes Unidos,-,-
15,,Eslovênia,68,327
16,,Espanha,1.421.655,3.871.128
17,,Estados Unidos,13.255,31.083
18,,França,1.116.188,8.814.571
19,,Geórgia,-,-
20,,Granada,-,-
21,,Grécia,-,-
22,,Hong Kong,72,5.061
23,,Hungria,765,2.061
24,,Indonésia,-,-
25,,Irlanda,-,-
26,,Israel,296,9.540
27,,Itália,1.524.542,3.544.718
28,,Japão,-,-
29,,Luxemburgo,-,-
30,,México,-,-
31,,Moldávia,-,-
32,,Nova Zelândia,-,-
33,,Países Baixos,3.412,151.690
34,,Panamá,-,-
35,,Peru,-,-
36,,Portugal,102.324,324.099
37,,Reino Unido,2.309,17.975
38,,Romênia,-,-
39,,Suíça,481,15.222
40,,Tunísia,-,-
41,,Ucrânia,-,-
42,,Uruguai,2.908,18.124
43,,Não consta na tabela,-,-
44,,Não declarados,-,-
45,,Outros,-,-
