,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,-,-
1,,"Alemanha, República Democrática",559.012,1.213.303
2,,Angola,-,-
3,,Antígua e Barbuda,253,999
4,,Arabia Saudita,12.224,53.675
5,,Argélia,-,-
6,,Argentina,3.954.281,8.103.640
7,,Áustria,-,-
8,,Bahamas,3.035,10.694
9,,Bahrein,-,-
10,,Bangladesh,113,319
11,,Barbados,163,540
12,,Barein,316,1.159
13,,Bélgica,39.134,95.538
14,,Belize,117,248
15,,Bermudas,200,761
16,,Bolívia,132.736,67.397
17,,Bósnia,-,-
18,,Brasil,109,267
19,,Bulgária,-,-
20,,Burquina Faso,-,-
21,,Cabo Verde,-,-
22,,Camarões,50,149
23,,Camores,-,-
24,,Canadá,383.543,1.497.880
25,,Catar,28,75
26,,"Cayman, Ilhas",277,1.145
27,,Chile,31,125
28,,China,945,2.708
29,,Chipre,1.867,4.345
30,,Cingapura,-,-
31,,"Cocos (Keeling), Ilhas",32,55
32,,"Cook, Ilhas",-,-
33,,Colômbia,13,32
34,,Congo,-,-
35,,Coreia do Norte,-,-
36,,Coreia do Sul,142,381
37,,Costa do Marfim,-,-
38,,Coveite,7.252,33.694
39,,Croácia,20,28
40,,Curaçao,-,-
41,,Dinamarca,26.792,50.928
42,,Djibuti,-,-
43,,Egito,-,-
44,,Emirados Árabes Unidos,116.384,401.362
45,,Eslovênia,-,-
46,,Espanha,3.504.580,6.022.297
47,,Estados Unidos,9.634.362,26.805.893
48,,Falkland (Ilhas Malvinas),60,61
49,,"Faroé, Ilhas",-,-
50,,Filipinas,137,455
51,,Finlândia,-,-
52,,França,200,892
53,,Gabão,20,53
54,,Gana,-,-
55,,Georgia,-,-
56,,Gibraltar,125,480
57,,Grécia,2.536,6.949
58,,Guadalupe,-,-
59,,Guiana,3.902,12.934
60,,Guiana Francesa,-,-
61,,Guiné-Bissau,-,-
62,,Guine Equatorial,-,-
63,,Honduras,-,-
64,,Hong Kong,11.130,81.767
65,,Ilha de Man,124,459
66,,Ilhas Virgens,-,-
67,,Índia,548,1.576
68,,Indonésia,40,103
69,,Irã,70,182
70,,Iraque,-,-
71,,Irlanda,1.412.302,3.175.487
72,,Islândia,-,-
73,,Itália,269,984
74,,Japão,377,1.270
75,,Jérsei,-,-
76,,Jordânia,40,116
77,,Letônia,20,84
78,,Líbano,-,-
79,,Libéria,10.296,36.932
80,,Líbia,-,-
81,,Lituânia,30.168,65.259
82,,Luxemburgo,53,242
83,,Macedônia,-,-
84,,Malásia,70,276
85,,Malta,3.766,13.755
86,,"Marianas do Norte, Ilhas",-,-
87,,Marrocos,20,66
88,,"Marshall, Ilhas",14.389,50.525
89,,Martinica,-,-
90,,Mauricio,-,-
91,,Mauritânia,-,-
92,,Mexico,-,-
93,,Mônaco,-,-
94,,Mongólia,-,-
95,,Montenegro,-,-
96,,Nigéria,-,-
97,,Noruega,381.020,594.883
98,,Omã,100,311
99,,Países Baixos,18.874.963,36.345.317
100,,Palau,-,-
101,,Panamá,10.006,34.309
102,,Paquistão,50,206
103,,Paraguai,-,-
104,,Pitcairn,-,-
105,,Polônia,20,50
106,,Porto Rico,-,-
107,,Portugal,1.943,7.713
108,,Quirguistão,-,-
109,,Reino Unido,-,-
110,,Republica Dominicana,-,-
111,,Romênia,13.194.790,28.569.636
112,,"Rússia,  Federação da",14.440,32.576
113,,Samoa Americana,8,18
114,,São Cristóvão e Névis,-,-
115,,São Tomé e Príncipe,-,-
116,,São Vicente e Granadinas,53,163
117,,Serra Leoa,1,4
118,,Senegal,-,-
119,,Singapura,16.664,140.893
120,,Sri Lanka,-,-
121,,Suazilândia,-,-
122,,Suécia,13,45
123,,Suíça,2.604,32.752
124,,Suriname,-,-
125,,Tailândia,811,3.426
126,,Taiwan,40,123
127,,Tanzânia,-,-
128,,Togo,-,-
129,,Trindade e Tobago,-,-
130,,Tunísia,-,-
131,,"Turcas e Caicos, ilhas",-,-
132,,Turquia,194,642
133,,Tuvalu,-,-
134,,Uruguai,194.634,336.671
135,,Vanuatu,80,244
136,,Venezuela,-,-
137,,Vietnã,60,260
138,,"Wallis e Futuna, Ilhas",-,-
139,,Provisão de Navios e Aeronaves,-,-
