,categoria,países,quantidade (kg),valor (us$)
0,,Argélia,-,-
1,,Argentina,1.435.079,2.564.939
2,,Brasil,-,-
3,,Chile,6.446.400,13.846.157
4,,Colômbia,-,-
5,,Egito,63.840,173.636
6,,Espanha,-,-
7,,Estados Unidos,-,-
8,,Grécia,-,-
9,,Itália,-,-
10,,México,-,-
11,,Peru,962.405,2.526.843
12,,Paraguai,-,-
13,,Portugal,1.100,2.370
14,,Panamá,-,-
15,,Reino Unido,-,-
16,,Uruguai,-,-
17,,Venezuela,-,-
18,,Não consta na tabela,-,-
19,,Outros,-,-
