,categoria,países,quantidade (kg),valor (us$)
0,,África do Sul,-,-
1,,Alemanha,1.003,5.466
2,,Angola,1.007,3.615
3,,Antigua e Barbuda,7,34
4,,Antilhas Holandesas,-,-
5,,Argentina,-,-
6,,Aruba,-,-
7,,Australia,180,800
8,,Bahamas,18,79
9,,Bangladesh,-,-
10,,Barbados,-,-
11,,Belgica,1.869,11.405
12,,Benin,-,-
13,,Bermudas,-,-
14,,Bolívia,-,-
15,,Bósnia-Herzegovina,10,53
16,,Bulgaria,-,-
17,,Cabo Verde,-,-
18,,Camarões,-,-
19,,Canada,2.185,8.228
20,,Catar,41,3.502
21,,"Cayman, Ilhas",15,43
22,,Chile,-,-
23,,China,26.247,91.922
24,,Chipre,101,368
25,,Cingapura,28.418,126.428
26,,Colombia,804,2.185
27,,"Coreia do Sul, Republica da",32,115
28,,Costa Rica,-,-
29,,Cuba,-,-
30,,Curaçao,3.373,13.676
31,,Dinamarca,96,230
32,,Djibuti,-,-
33,,Dominica,-,-
34,,El Salvador,-,-
35,,Emirados Arabes Unidos,33,164
36,,Equador,2,3
37,,Espanha,2,3
38,,Estados Unidos,389.511,1.023.709
39,,Estonia,-,-
40,,Falkland (Malvinas),-,-
41,,Filipinas,24,109
42,,Filânldia,-,-
43,,França,3.123,15.835
44,,Gana,810,3.696
45,,Gibraltar,43,85
46,,Granada,-,-
47,,Grécia,74,280
48,,Guatemala,446,2.933
49,,Guiana,-,-
50,,Guiné Equatorial,-,-
51,,Guiné-Bissau,-,-
52,,Haiti,-,-
53,,Honduras,-,-
54,,Hong Kong,2.801,10.173
55,,Hungria,-,-
56,,Ilha de Man,-,-
57,,Índia,18,40
58,,Iraque,-,-
59,,Irlanda,14,26
60,,Islândia,-,-
61,,Itália,522,2.445
62,,Japão,10.242,41.567
63,,Jordânia,-,-
64,,Letônia,-,-
65,,Líbano,29,108
66,,Libéria,1.207,2.420
67,,Luxemburgo,495,2.474
68,,Maldivas,-,-
69,,Malta,359,1.317
70,,Marrocos,-,-
71,,"Marshall, Ilhas",1.594,2.853
72,,Montenegro,-,-
73,,México,-,-
74,,Nicarágua,-,-
75,,Nigéria,1.809,7.513
76,,Noruega,345,505
77,,Nova Zelândia,-,-
78,,Países Baixos (Holanda),432,923
79,,Panamá,2.929,6.126
80,,Paraguai,94.620,224.306
81,,Peru,596,1.854
82,,Polônia,18.810,57.107
83,,Porto Rico,-,-
84,,Portugal,1.288,15.933
85,,Quênia,-,-
86,,Reino Unido,11.049,54.428
87,,Republica Dominicana,-,-
88,,Republica Tcheca,-,-
89,,Rússia,71.654,27.360
90,,Serra Leoa,-,-
91,,Sérvia,-,-
92,,Singapura,-,-
93,,Suécia,-,-
94,,Suíça,2.704,8.959
95,,Suriname,2,3
96,,Tailândia,8,169
97,,Taiwan (Formosa),5,6
98,,"Tcheca, República",-,-
99,,Togo,-,-
100,,Trinidade e Tobago,-,-
101,,Turquia,6,30
102,,Uruguai,2.808,15.045
103,,Vanuatu,-,-
104,,Venezuela,450,2.670
105,,Vietnã,-,-
106,,Outros(1),-,-
