,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,125.000,179.545
1,,África do Sul,1.418.063,3.278.109
2,,"Alemanha, República Democrática",-,-
3,,Arábia Saudita,-,-
4,,Argentina,20.905.602,32.341.307
5,,Austrália,-,-
6,,Bélgica,-,-
7,,Chile,747.700,1.522.661
8,,China,-,-
9,,China Continental,-,-
10,,Cingapura,-,-
11,,Costa Rica,-,-
12,,Emirados,40.000,95.856
13,,Egito,-,-
14,,Espanha,-,-
15,,Estados Unidos,350.138,1.034.494
16,,França,658,4.705
17,,Grécia,-,-
18,,Guiana Britânica,-,-
19,,Índia,57.000,60.717
20,,Irã,184.500,418.722
21,,Itália,-,-
22,,Japão,-,-
23,,México,-,-
24,,Países Baixos,-,-
25,,Paraguai,-,-
26,,Peru,-,-
27,,Portugal,250,445
28,,Reino Unido,25,426
29,,Suécia,-,-
30,,Turquia,1.006.000,1.666.760
31,,Uruguai,-,-
32,,Uzbequistão,-,-
33,,Venezuela,-,-
34,,Não consta na tabela,-,-
35,,Outros,-,-
