,categoria,países,quantidade (kg),valor (us$)
0,,África do Sul,-,-
1,,Alemanha,4.824,28.799
2,,Angola,-,-
3,,Antigua e Barbuda,-,-
4,,Antilhas Holandesas,-,-
5,,Argentina,-,-
6,,Aruba,-,-
7,,Australia,595,2.276
8,,Bahamas,-,-
9,,Bangladesh,-,-
10,,Barbados,-,-
11,,Belgica,450,2.646
12,,Benin,-,-
13,,Bermudas,-,-
14,,Bolívia,1.668,21.056
15,,Bósnia-Herzegovina,-,-
16,,Bulgaria,-,-
17,,Cabo Verde,-,-
18,,Camarões,4.138,16.077
19,,Canada,-,-
20,,Catar,-,-
21,,"Cayman, Ilhas",-,-
22,,Chile,25.439,231.696
23,,China,11.646,35.671
24,,Chipre,-,-
25,,Cingapura,-,-
26,,Colombia,595,2.600
27,,"Coreia do Sul, Republica da",442,1.470
28,,Costa Rica,-,-
29,,Cuba,-,-
30,,Curaçao,991,5.808
31,,Dinamarca,-,-
32,,Djibuti,-,-
33,,Dominica,-,-
34,,El Salvador,-,-
35,,Emirados Arabes Unidos,-,-
36,,Equador,-,-
37,,Espanha,5.013,64.735
38,,Estados Unidos,22.605,170.620
39,,Estonia,-,-
40,,Falkland (Malvinas),-,-
41,,Filipinas,-,-
42,,Filânldia,-,-
43,,França,-,-
44,,Gana,-,-
45,,Gibraltar,-,-
46,,Granada,-,-
47,,Grécia,-,-
48,,Guatemala,-,-
49,,Guiana,4,61
50,,Guiné Equatorial,-,-
51,,Guiné-Bissau,-,-
52,,Haiti,-,-
53,,Honduras,-,-
54,,Hong Kong,450,2.705
55,,Hungria,-,-
56,,Ilha de Man,-,-
57,,Índia,-,-
58,,Iraque,-,-
59,,Irlanda,-,-
60,,Islândia,-,-
61,,Itália,1.467,8.382
62,,Japão,48.604,133.203
63,,Jordânia,-,-
64,,Letônia,158,2.426
65,,Líbano,-,-
66,,Libéria,-,-
67,,Luxemburgo,360,1.825
68,,Maldivas,-,-
69,,Malta,-,-
70,,Marrocos,-,-
71,,"Marshall, Ilhas",-,-
72,,Montenegro,-,-
73,,México,-,-
74,,Nicarágua,-,-
75,,Nigéria,-,-
76,,Noruega,-,-
77,,Nova Zelândia,196,1.021
78,,Países Baixos (Holanda),-,-
79,,Panamá,-,-
80,,Paraguai,80.951,255.320
81,,Peru,-,-
82,,Polônia,-,-
83,,Porto Rico,-,-
84,,Portugal,756,11.568
85,,Quênia,100,1.512
86,,Reino Unido,27.700,101.672
87,,Republica Dominicana,-,-
88,,Republica Tcheca,207,942
89,,Rússia,-,-
90,,Serra Leoa,-,-
91,,Sérvia,-,-
92,,Singapura,-,-
93,,Suécia,298,1.136
94,,Suíça,1.890,16.884
95,,Suriname,-,-
96,,Tailândia,-,-
97,,Taiwan (Formosa),1.507,6.574
98,,"Tcheca, República",-,-
99,,Togo,-,-
100,,Trinidade e Tobago,-,-
101,,Turquia,-,-
102,,Uruguai,13.237,48.581
103,,Vanuatu,-,-
104,,Venezuela,455,2.205
105,,Vietnã,-,-
106,,Outros(1),-,-
