,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,18.000,32.600
1,,África do Sul,-,-
2,,"Alemanha, República Democrática",-,-
3,,Arábia Saudita,-,-
4,,Argentina,20.571.302,47.105.230
5,,Austrália,-,-
6,,Bélgica,-,-
7,,Chile,453.310,1.123.963
8,,China,-,-
9,,China Continental,100.027,193.223
10,,Cingapura,40.000,77.213
11,,Costa Rica,-,-
12,,Emirados,240.800,442.625
13,,Egito,-,-
14,,Espanha,-,-
15,,Estados Unidos,538.319,1.622.047
16,,França,720,6.016
17,,Grécia,-,-
18,,Guiana Britânica,-,-
19,,Índia,36.000,64.213
20,,Irã,1.415.828,2.617.493
21,,Itália,-,-
22,,Japão,-,-
23,,México,-,-
24,,Países Baixos,-,-
25,,Paraguai,-,-
26,,Peru,-,-
27,,Portugal,-,-
28,,Reino Unido,-,-
29,,Suécia,-,-
30,,Turquia,-,-
31,,Uruguai,-,-
32,,Uzbequistão,-,-
33,,Venezuela,-,-
34,,Não consta na tabela,-,-
35,,Outros,-,-
