,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,44,152
1,,"Alemanha, República Democrática",1.371.694,2.791.556
2,,Angola,-,-
3,,Antígua e Barbuda,304,1.013
4,,Arabia Saudita,32.325,95.999
5,,Argélia,-,-
6,,Argentina,2.002.784,3.707.550
7,,Áustria,-,-
8,,Bahamas,3.208,9.449
9,,Bahrein,-,-
10,,Bangladesh,30,214
11,,Barbados,83,197
12,,Barein,250,796
13,,Bélgica,12.757,24.336
14,,Belize,20,32
15,,Bermudas,390,1.375
16,,Bolívia,92.974,34.914
17,,Bósnia,447,472
18,,Brasil,-,-
19,,Bulgária,100,170
20,,Burquina Faso,-,-
21,,Cabo Verde,-,-
22,,Camarões,-,-
23,,Camores,10,34
24,,Canadá,86.635,457.420
25,,Catar,336,432
26,,"Cayman, Ilhas",341,1.130
27,,Chile,266,826
28,,China,1.197,3.370
29,,Chipre,3.407,8.717
30,,Cingapura,6.933,29.402
31,,"Cocos (Keeling), Ilhas",-,-
32,,"Cook, Ilhas",-,-
33,,Colômbia,15,45
34,,Congo,-,-
35,,Coreia do Norte,30,119
36,,Coreia do Sul,226,517
37,,Costa do Marfim,-,-
38,,Coveite,1.572,3.000
39,,Croácia,16,104
40,,Curaçao,-,-
41,,Dinamarca,62.450,135.756
42,,Djibuti,25,41
43,,Egito,-,-
44,,Emirados Árabes Unidos,220.576,630.862
45,,Eslovênia,10,29
46,,Espanha,1.743.131,3.842.045
47,,Estados Unidos,7.879.841,22.376.155
48,,Falkland (Ilhas Malvinas),15,100
49,,"Faroé, Ilhas",25,98
50,,Filipinas,441,1.135
51,,Finlândia,-,-
52,,França,1.419,11.552
53,,Gabão,-,-
54,,Gana,-,-
55,,Georgia,-,-
56,,Gibraltar,243,709
57,,Grécia,2.802,6.767
58,,Guadalupe,-,-
59,,Guiana,1.432,3.754
60,,Guiana Francesa,-,-
61,,Guiné-Bissau,-,-
62,,Guine Equatorial,-,-
63,,Honduras,-,-
64,,Hong Kong,19.362,198.977
65,,Ilha de Man,136,411
66,,Ilhas Virgens,-,-
67,,Índia,502,1.167
68,,Indonésia,13,40
69,,Irã,218,531
70,,Iraque,-,-
71,,Irlanda,805.090,1.768.519
72,,Islândia,40,61
73,,Itália,118,301
74,,Japão,779,2.157
75,,Jérsei,-,-
76,,Jordânia,31,75
77,,Letônia,40,102
78,,Líbano,33,119
79,,Libéria,10.238,30.285
80,,Líbia,20,55
81,,Lituânia,-,-
82,,Luxemburgo,-,-
83,,Macedônia,-,-
84,,Malásia,2.065,30.729
85,,Malta,4.282,11.606
86,,"Marianas do Norte, Ilhas",-,-
87,,Marrocos,8,22
88,,"Marshall, Ilhas",13.769,41.407
89,,Martinica,-,-
90,,Mauricio,-,-
91,,Mauritânia,-,-
92,,Mexico,-,-
93,,Mônaco,20,59
94,,Mongólia,10,15
95,,Montenegro,40,147
96,,Nigéria,-,-
97,,Noruega,183.232,572.588
98,,Omã,43,234
99,,Países Baixos,20.360.309,40.052.845
100,,Palau,-,-
101,,Panamá,10.170,25.834
102,,Paquistão,-,-
103,,Paraguai,3.750,2.881
104,,Pitcairn,-,-
105,,Polônia,4,7
106,,Porto Rico,-,-
107,,Portugal,15.803,26.426
108,,Quirguistão,-,-
109,,Reino Unido,13.978.476,31.486.021
110,,Republica Dominicana,-,-
111,,Romênia,-,-
112,,"Rússia,  Federação da",216.906,472.154
113,,Samoa Americana,-,-
114,,São Cristóvão e Névis,-,-
115,,São Tomé e Príncipe,-,-
116,,São Vicente e Granadinas,20,69
117,,Serra Leoa,-,-
118,,Senegal,-,-
119,,Singapura,-,-
120,,Sri Lanka,-,-
121,,Suazilândia,-,-
122,,Suécia,50,163
123,,Suíça,2.209,20.998
124,,Suriname,-,-
125,,Tailândia,762,3.001
126,,Taiwan,90,242
127,,Tanzânia,-,-
128,,Togo,-,-
129,,Trindade e Tobago,-,-
130,,Tunísia,-,-
131,,"Turcas e Caicos, ilhas",18,51
132,,Turquia,353,868
133,,Tuvalu,-,-
134,,Uruguai,68.196,58.419
135,,Vanuatu,26,73
136,,Venezuela,-,-
137,,Vietnã,18,49
138,,"Wallis e Futuna, Ilhas",-,-
139,,Provisão de Navios e Aeronaves,-,-
