,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,4,21
2,,"Alemanha, República Democrática",6.261,32.605
3,,Angola,-,-
4,,Anguilla,-,-
5,,Antígua e Barbuda,624,1.864
6,,Antilhas Holandesas,-,-
7,,Arábia Saudita,-,-
8,,Argélia,-,-
9,,Argentina,1.015,4.176
10,,Aruba,-,-
11,,Austrália,1.013,3.413
12,,Áustria,-,-
13,,Bahamas,1.212,3.703
14,,Bangladesh,3,29
15,,Barbados,143,169
16,,Barein,8,28
17,,Bélgica,3.166,20.460
18,,Belice,-,-
19,,Benin,-,-
20,,Bermudas,-,-
21,,Bolívia,9.900,16.025
22,,Bósnia-Herzegovina,45,52
23,,Brasil,-,-
24,,Bulgária,-,-
25,,Cabo Verde,-,-
26,,Camarões,0,178
27,,Canadá,1.672,8.431
28,,Catar,-,-
29,,"Cayman, Ilhas",123,339
30,,Chile,11,13
31,,China,122.253,363.000
32,,Chipre,2.478,6.785
33,,Cingapura,4.049,9.316
34,,"Cocos (Keeling), Ilhas",-,-
35,,Colômbia,15.660,23.780
36,,Comores,9,25
37,,Congo,-,-
38,,"Coreia, Republica Sul",103,433
39,,Costa do Marfim,-,-
40,,Costa Rica,-,-
41,,Coveite (Kuweit),-,-
42,,Croácia,21,123
43,,Cuba,-,-
44,,Curaçao,47.962,65.986
45,,Dinamarca,659,1.962
46,,Dominica,-,-
47,,El Salvador,-,-
48,,Emirados Arabes Unidos,581,2.279
49,,Equador,3.780,3.824
50,,"Eslovaca, Republica",-,-
51,,Espanha,28,126
52,,Estados Unidos,300.178,610.793
53,,Estônia,-,-
54,,Filipinas,719,1.548
55,,Finlândia,-,-
56,,França,12.622,57.144
57,,Gabão,-,-
58,,Gana,18.810,22.027
59,,Gibraltar,769,2.860
60,,Granada,-,-
61,,Grécia,6.859,18.092
62,,Guatemala,-,-
63,,Guiana,990,2.577
64,,Guiana Francesa,-,-
65,,Guine Bissau,-,-
66,,Guine Equatorial,-,-
67,,Haiti,399.128,471.152
68,,Honduras,-,-
69,,Hong Kong,15.159,41.987
70,,Hungria,-,-
71,,Ilha de Man,11,121
72,,Ilhas Virgens,-,-
73,,Índia,7,10
74,,Indonésia,5,6
75,,Irã,21,35
76,,Iraque,-,-
77,,Irlanda,29,257
78,,Itália,91,376
79,,Jamaica,-,-
80,,Japão,36.442,92.674
81,,Jordânia,12,52
82,,Letônia,-,-
83,,Líbano,-,-
84,,Libéria,5.155,17.624
85,,Luxemburgo,1.086,5.110
86,,Macau,-,-
87,,Malásia,-,-
88,,Malavi,-,-
89,,Malta,3.490,9.688
90,,"Marshall, Ilhas",6.270,19.639
91,,Martinica,-,-
92,,Mauritânia,-,-
93,,México,24,226
94,,Moçambique,-,-
95,,Montenegro,9,20
96,,Namíbia,-,-
97,,Nicarágua,-,-
98,,Nigéria,12.094,26.514
99,,Noruega,1.859,15.134
100,,Nova Caledônia,-,-
101,,Nova Zelândia,95,515
102,,Omã,-,-
103,,Países Baixos,248,1.532
104,,Palau,-,-
105,,Panamá,10.821,28.372
106,,Paraguai,3.299.013,3.869.243
107,,Peru,-,-
108,,Pitcairn,-,-
109,,Polônia,74,86
110,,Porto Rico,-,-
111,,Portugal,7.958,34.518
112,,Quênia,-,-
113,,Reino Unido,22.913,82.722
114,,República Dominicana,-,-
115,,Rússia,1.463,8.550
116,,São Cristóvão e Névis,-,-
117,,São Tomé e Príncipe,-,-
118,,São Vicente e Granadinas,-,-
119,,Senegal,-,-
120,,Serra Leoa,9.240,13.050
121,,Sérvia,-,-
122,,Singapura,-,-
123,,Suazilândia,-,-
124,,Suécia,6,24
125,,Suíça,2.827,27.930
126,,Suriname,4.185,5.277
127,,Tailândia,534,1.753
128,,Taiwan (Formosa),963,4.673
129,,Tanzânia,-,-
130,,"Tcheca, República",563,4.805
131,,Togo,-,-
132,,Toquelau,-,-
133,,Trinidade Tobago,-,-
134,,Tunísia,-,-
135,,Turquia,-,-
136,,Tuvalu,2,4
137,,Uruguai,-,-
138,,Vanuatu,18,31
139,,Venezuela,4.086,9.808
140,,Vietnã,86,584
