,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,522.733,1.732.850
1,,Alemanha,102.456,557.947
2,,Argélia,-,-
3,,Arábia Saudita,8,161
4,,Argentina,25.276.991,83.918.138
5,,Armênia,3.542,24.336
6,,Austrália,432.829,1.568.550
7,,Áustria,16.832,145.475
8,,Bermudas,6,879
9,,Bélgica,-,-
10,,Bolívia,1.170,10.920
11,,Bósnia-Herzegovina,-,-
12,,Brasil,6.229,76.894
13,,Bulgária,40.281,95.232
14,,Canada,14,1.062
15,,Chile,62.358.765,170.146.247
16,,China,-,-
17,,"Coreia do Sul, República",-,-
18,,Croácia,1.107,9.160
19,,Cuba,8,261
20,,Emirados Árabes Unidos,-,-
21,,Eslovênia,28.806,124.283
22,,Eslováquia,-,-
23,,Espanha,6.591.628,20.097.228
24,,Estados Unidos,244.276,1.775.713
25,,França,4.899.631,30.421.272
26,,Geórgia,17.173,29.084
27,,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
28,,Grécia,45.889,147.724
29,,Hong Kong,-,-
30,,Hungria,41.905,316.481
31,,Indonésia,-,-
32,,Irlanda,-,-
33,,Israel,48.772,259.405
34,,Itália,8.868.133,34.760.596
35,,Japão,86,3.427
36,,Iugoslávia,-,-
37,,Líbano,14.328,106.610
38,,Luxemburgo,-,-
39,,Macedônia,8.522,17.172
40,,Marrocos,603,2.349
41,,México,-,-
42,,Moldávia,51.189,138.741
43,,Montenegro,-,-
44,,Noruega,-,-
45,,Nova Zelândia,28.665,254.138
46,,Países Baixos (Holanda),9,354
47,,Panamá,-,-
48,,Paraguai,-,-
49,,Peru,12.276,58.862
50,,Porto Rico,2.021,4.481
51,,Portugal,25.099.409,71.970.948
52,,Reino Unido,1.808,32.757
53,,Republica Dominicana,-,-
54,,Romênia,36.775,98.835
55,,Rússia,-,-
56,,San Marino,-,-
57,,Sérvia,-,-
58,,Síria,-,-
59,,Suazilândia,320,6.968
60,,Suíça,2.109,101.111
61,,"Tcheca, República",-,-
62,,Tunísia,-,-
63,,Turquia,-,-
64,,Ucrânia,-,-
65,,Uruguai,2.905.567,9.276.001
66,,Não consta na tabela,-,-
67,,Não declarados,-,-
68,,Outros,-,-
