,categoria,países,quantidade (kg),valor (us$)
0,,África do Sul,-,-
1,,Alemanha,1.164,6.560
2,,Angola,26.383,141.588
3,,Antigua e Barbuda,65,146
4,,Antilhas Holandesas,-,-
5,,Argentina,-,-
6,,Aruba,-,-
7,,Australia,-,-
8,,Bahamas,56,194
9,,Bangladesh,-,-
10,,Barbados,25,101
11,,Belgica,-,-
12,,Benin,-,-
13,,Bermudas,12,58
14,,Bolívia,22.307,70.416
15,,Bósnia-Herzegovina,-,-
16,,Bulgaria,-,-
17,,Cabo Verde,-,-
18,,Camarões,-,-
19,,Canada,62,347
20,,Catar,-,-
21,,"Cayman, Ilhas",-,-
22,,Chile,4,19
23,,China,8.619,35.079
24,,Chipre,382,931
25,,Cingapura,-,-
26,,Colombia,15.396,56.227
27,,"Coreia do Sul, Republica da",10,30
28,,Costa Rica,-,-
29,,Cuba,-,-
30,,Curaçao,3.487,15.494
31,,Dinamarca,-,-
32,,Djibuti,-,-
33,,Dominica,594,1.461
34,,El Salvador,-,-
35,,Emirados Arabes Unidos,-,-
36,,Equador,135,500
37,,Espanha,-,-
38,,Estados Unidos,732.209,1.964.451
39,,Estonia,-,-
40,,Falkland (Malvinas),360,2.081
41,,Filipinas,77,389
42,,Filânldia,-,-
43,,França,772,4.308
44,,Gana,12.729,58.137
45,,Gibraltar,-,-
46,,Granada,1.122,3.050
47,,Grécia,38,177
48,,Guatemala,284,1.527
49,,Guiana,5.553,26.216
50,,Guiné Equatorial,-,-
51,,Guiné-Bissau,-,-
52,,Haiti,4.842,9.417
53,,Honduras,-,-
54,,Hong Kong,1.175,5.328
55,,Hungria,-,-
56,,Ilha de Man,2,20
57,,Índia,-,-
58,,Iraque,-,-
59,,Irlanda,6,22
60,,Islândia,-,-
61,,Itália,503,3.702
62,,Japão,2.970,12.049
63,,Jordânia,-,-
64,,Letônia,-,-
65,,Líbano,1.350,4.810
66,,Libéria,1.105,3.367
67,,Luxemburgo,-,-
68,,Maldivas,3.221,10.680
69,,Malta,191,822
70,,Marrocos,-,-
71,,"Marshall, Ilhas",1.154,3.438
72,,Montenegro,-,-
73,,México,-,-
74,,Nicarágua,-,-
75,,Nigéria,6.705,32.586
76,,Noruega,483,9.852
77,,Nova Zelândia,-,-
78,,Países Baixos (Holanda),707,6.038
79,,Panamá,3.092,32.540
80,,Paraguai,48.160,183.187
81,,Peru,-,-
82,,Polônia,-,-
83,,Porto Rico,-,-
84,,Portugal,56,612
85,,Quênia,-,-
86,,Reino Unido,9.305,53.968
87,,Republica Dominicana,-,-
88,,Republica Tcheca,-,-
89,,Rússia,990,5.280
90,,Serra Leoa,225,1.165
91,,Sérvia,-,-
92,,Singapura,642,5.235
93,,Suécia,-,-
94,,Suíça,-,-
95,,Suriname,-,-
96,,Tailândia,17,107
97,,Taiwan (Formosa),901,4.141
98,,"Tcheca, República",-,-
99,,Togo,-,-
100,,Trinidade e Tobago,-,-
101,,Turquia,2,17
102,,Uruguai,10.200,87.895
103,,Vanuatu,-,-
104,,Venezuela,-,-
105,,Vietnã,16,19
106,,Outros(1),-,-
