,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,117,698
2,,"Alemanha, República Democrática",4.806,31.853
3,,Angola,-,-
4,,Anguilla,-,-
5,,Antígua e Barbuda,383,1.848
6,,Antilhas Holandesas,-,-
7,,Arábia Saudita,124,142
8,,Argélia,-,-
9,,Argentina,4.545,36.133
10,,Aruba,-,-
11,,Austrália,2.485,13.565
12,,Áustria,-,-
13,,Bahamas,1.348,7.402
14,,Bangladesh,-,-
15,,Barbados,58,303
16,,Barein,283,1.684
17,,Bélgica,95,683
18,,Belice,-,-
19,,Benin,-,-
20,,Bermudas,16,153
21,,Bolívia,21.926,36.950
22,,Bósnia-Herzegovina,-,-
23,,Brasil,-,-
24,,Bulgária,-,-
25,,Cabo Verde,-,-
26,,Camarões,-,-
27,,Canadá,11.539,42.179
28,,Catar,5,18
29,,"Cayman, Ilhas",438,2.632
30,,Chile,9,63
31,,China,73.917,183.096
32,,Chipre,524,2.995
33,,Cingapura,-,-
34,,"Cocos (Keeling), Ilhas",-,-
35,,Colômbia,450,1.259
36,,Comores,-,-
37,,Congo,17.100,26.600
38,,"Coreia, Republica Sul",25,171
39,,Costa do Marfim,-,-
40,,Costa Rica,-,-
41,,Coveite (Kuweit),-,-
42,,Croácia,-,-
43,,Cuba,-,-
44,,Curaçao,25.135,40.807
45,,Dinamarca,1.734,15.261
46,,Dominica,-,-
47,,El Salvador,-,-
48,,Emirados Arabes Unidos,1.417,6.762
49,,Equador,2.790,4.392
50,,"Eslovaca, Republica",-,-
51,,Espanha,180,4.171
52,,Estados Unidos,229.839,429.091
53,,Estônia,-,-
54,,Filipinas,94,334
55,,Finlândia,5,11
56,,França,2.265,14.722
57,,Gabão,-,-
58,,Gana,7.237,29.473
59,,Gibraltar,-,-
60,,Granada,-,-
61,,Grécia,1.294,3.214
62,,Guatemala,2.053,3.758
63,,Guiana,33.651,88.715
64,,Guiana Francesa,-,-
65,,Guine Bissau,-,-
66,,Guine Equatorial,-,-
67,,Haiti,559.645,871.661
68,,Honduras,-,-
69,,Hong Kong,16.255,71.025
70,,Hungria,-,-
71,,Ilha de Man,1.428,4.533
72,,Ilhas Virgens,-,-
73,,Índia,60,170
74,,Indonésia,9,30
75,,Irã,-,-
76,,Iraque,-,-
77,,Irlanda,150,377
78,,Itália,2.922,27.665
79,,Jamaica,-,-
80,,Japão,22.942,57.780
81,,Jordânia,-,-
82,,Letônia,8,8
83,,Líbano,-,-
84,,Libéria,39.784,42.463
85,,Luxemburgo,581,7.048
86,,Macau,7,6
87,,Malásia,-,-
88,,Malavi,3.660,6.252
89,,Malta,6.561,24.199
90,,"Marshall, Ilhas",7.417,31.691
91,,Martinica,9,31
92,,Mauritânia,-,-
93,,México,3,19
94,,Moçambique,-,-
95,,Montenegro,-,-
96,,Namíbia,-,-
97,,Nicarágua,-,-
98,,Nigéria,10.800,16.464
99,,Noruega,861,4.243
100,,Nova Caledônia,-,-
101,,Nova Zelândia,338,7.177
102,,Omã,-,-
103,,Países Baixos,2.244,4.958
104,,Palau,45,143
105,,Panamá,14.785,68.173
106,,Paraguai,3.780.378,5.517.263
107,,Peru,47.277,84.282
108,,Pitcairn,11,22
109,,Polônia,298,590
110,,Porto Rico,-,-
111,,Portugal,13.742,46.311
112,,Quênia,-,-
113,,Reino Unido,11.326,84.547
114,,República Dominicana,-,-
115,,Rússia,-,-
116,,São Cristóvão e Névis,16,31
117,,São Tomé e Príncipe,-,-
118,,São Vicente e Granadinas,39,139
119,,Senegal,-,-
120,,Serra Leoa,23.200,38.548
121,,Sérvia,-,-
122,,Singapura,3.941,19.781
123,,Suazilândia,-,-
124,,Suécia,-,-
125,,Suíça,2.500,28.763
126,,Suriname,3.105,5.235
127,,Tailândia,189,1.387
128,,Taiwan (Formosa),4.208,19.998
129,,Tanzânia,-,-
130,,"Tcheca, República",405,3.348
131,,Togo,14.550,25.235
132,,Toquelau,3,10
133,,Trinidade Tobago,-,-
134,,Tunísia,-,-
135,,Turquia,28.104,95.421
136,,Tuvalu,-,-
137,,Uruguai,326.093,454.271
138,,Vanuatu,-,-
139,,Venezuela,141.030,220.512
140,,Vietnã,72,128
