,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,986.750,3.527.083
2,,"Alemanha, República Democrática",-,-
3,,Arábia Saudita,-,-
4,,Argentina,19.728.826,43.648.893
5,,Austrália,-,-
6,,Bélgica,-,-
7,,Chile,2.046.530,5.049.441
8,,China,-,-
9,,China Continental,63.000,216.812
10,,Cingapura,-,-
11,,Costa Rica,-,-
12,,Emirados,19.000,70.026
13,,Egito,-,-
14,,Espanha,-,-
15,,Estados Unidos,512.716,1.619.257
16,,França,1.474,12.148
17,,Grécia,-,-
18,,Guiana Britânica,-,-
19,,Índia,166.862,268.758
20,,Irã,306.700,995.038
21,,Itália,-,-
22,,Japão,-,-
23,,México,-,-
24,,Países Baixos,-,-
25,,Paraguai,-,-
26,,Peru,-,-
27,,Portugal,-,-
28,,Reino Unido,-,-
29,,Suécia,-,-
30,,Turquia,709.785,1.161.161
31,,Uruguai,-,-
32,,Uzbequistão,71.900,127.883
33,,Venezuela,-,-
34,,Não consta na tabela,-,-
35,,Outros,-,-
