,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,-,-
1,,"Alemanha, República Democrática",807.805,2.269.851
2,,Angola,-,-
3,,Antígua e Barbuda,521,2.562
4,,Arabia Saudita,810,2.823
5,,Argélia,-,-
6,,Argentina,3.598.586,9.699.174
7,,Áustria,-,-
8,,Bahamas,7.271,37.123
9,,Bahrein,-,-
10,,Bangladesh,36,108
11,,Barbados,192,794
12,,Barein,337,1.653
13,,Bélgica,25.123,52.889
14,,Belize,10,26
15,,Bermudas,85,473
16,,Bolívia,183.446,78.242
17,,Bósnia,-,-
18,,Brasil,421,2.732
19,,Bulgária,25,86
20,,Burquina Faso,-,-
21,,Cabo Verde,-,-
22,,Camarões,-,-
23,,Camores,-,-
24,,Canadá,1.202.044,3.728.127
25,,Catar,3.000,20.370
26,,"Cayman, Ilhas",294,1.409
27,,Chile,-,-
28,,China,605,2.626
29,,Chipre,1.091,4.869
30,,Cingapura,-,-
31,,"Cocos (Keeling), Ilhas",-,-
32,,"Cook, Ilhas",70,404
33,,Colômbia,-,-
34,,Congo,-,-
35,,Coreia do Norte,-,-
36,,Coreia do Sul,260,856
37,,Costa do Marfim,-,-
38,,Coveite,4.281,36.645
39,,Croácia,26,103
40,,Curaçao,-,-
41,,Dinamarca,2.898,14.531
42,,Djibuti,-,-
43,,Egito,61,264
44,,Emirados Árabes Unidos,157.066,825.912
45,,Eslovênia,-,-
46,,Espanha,5.729.378,10.190.948
47,,Estados Unidos,13.824.702,39.761.539
48,,Falkland (Ilhas Malvinas),-,-
49,,"Faroé, Ilhas",-,-
50,,Filipinas,153,463
51,,Finlândia,-,-
52,,França,257,1.318
53,,Gabão,168,792
54,,Gana,-,-
55,,Georgia,-,-
56,,Gibraltar,115,433
57,,Grécia,3.274,10.778
58,,Guadalupe,-,-
59,,Guiana,4.928,19.841
60,,Guiana Francesa,2.461,3.297
61,,Guiné-Bissau,127,823
62,,Guine Equatorial,-,-
63,,Honduras,-,-
64,,Hong Kong,7.882,47.227
65,,Ilha de Man,258,1.139
66,,Ilhas Virgens,-,-
67,,Índia,285,1.218
68,,Indonésia,-,-
69,,Irã,-,-
70,,Iraque,100,309
71,,Irlanda,530.508,1.496.511
72,,Islândia,-,-
73,,Itália,46.743,78.055
74,,Japão,358,1.578
75,,Jérsei,-,-
76,,Jordânia,20,54
77,,Letônia,-,-
78,,Líbano,20,84
79,,Libéria,14.065,63.684
80,,Líbia,-,-
81,,Lituânia,-,-
82,,Luxemburgo,90,423
83,,Macedônia,-,-
84,,Malásia,126,727
85,,Malta,4.541,20.467
86,,"Marianas do Norte, Ilhas",6,31
87,,Marrocos,-,-
88,,"Marshall, Ilhas",14.977,64.883
89,,Martinica,82,519
90,,Mauricio,-,-
91,,Mauritânia,-,-
92,,Mexico,-,-
93,,Mônaco,-,-
94,,Mongólia,-,-
95,,Montenegro,-,-
96,,Nigéria,-,-
97,,Noruega,614.759,1.994.322
98,,Omã,-,-
99,,Países Baixos,20.023.743,49.326.481
100,,Palau,50,289
101,,Panamá,14.442,61.509
102,,Paquistão,6,36
103,,Paraguai,-,-
104,,Pitcairn,-,-
105,,Polônia,6,35
106,,Porto Rico,-,-
107,,Portugal,1.623,7.734
108,,Quirguistão,-,-
109,,Reino Unido,11.901.316,31.074.194
110,,Republica Dominicana,-,-
111,,Romênia,-,-
112,,"Rússia,  Federação da",160,578
113,,Samoa Americana,-,-
114,,São Cristóvão e Névis,-,-
115,,São Tomé e Príncipe,-,-
116,,São Vicente e Granadinas,-,-
117,,Serra Leoa,5,13
118,,Senegal,-,-
119,,Singapura,6.778,30.362
120,,Sri Lanka,-,-
121,,Suazilândia,2,21
122,,Suécia,10,42
123,,Suíça,4.513,60.333
124,,Suriname,-,-
125,,Tailândia,737,4.120
126,,Taiwan,-,-
127,,Tanzânia,-,-
128,,Togo,-,-
129,,Trindade e Tobago,-,-
130,,Tunísia,6,34
131,,"Turcas e Caicos, ilhas",-,-
132,,Turquia,400,1.965
133,,Tuvalu,-,-
134,,Uruguai,114.792,245.284
135,,Vanuatu,7,16
136,,Venezuela,20,79
137,,Vietnã,5,21
138,,"Wallis e Futuna, Ilhas",10,57
139,,Provisão de Navios e Aeronaves,-,-
