,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,7.650,69.382
1,,Alemanha,322,5.111
2,,Argentina,839.006,2.765.843
3,,Austrália,3.150,10.474
4,,Áustria,882,8.833
5,,Bermudas,3,54
6,,Bahamas,-,-
7,,Bélgica,-,-
8,,Brasil,7,184
9,,Bulgária,-,-
10,,Canada,23,279
11,,Chile,592.991,1.952.709
12,,Croácia,-,-
13,,Cuba,-,-
14,,Emirados Árabes Unidos,-,-
15,,Eslovênia,-,-
16,,Espanha,3.438.264,9.801.916
17,,Estados Unidos,259,10.273
18,,França,1.401.753,20.166.147
19,,Geórgia,-,-
20,,Granada,2,40
21,,Grécia,300,1.757
22,,Hong Kong,-,-
23,,Hungria,-,-
24,,Indonésia,-,-
25,,Irlanda,-,-
26,,Israel,-,-
27,,Itália,952.639,3.533.749
28,,Japão,-,-
29,,Luxemburgo,-,-
30,,México,-,-
31,,Moldávia,955,1.165
32,,Nova Zelândia,-,-
33,,Países Baixos,-,-
34,,Panamá,-,-
35,,Peru,-,-
36,,Portugal,95.326,386.265
37,,Reino Unido,1.507,28.581
38,,Romênia,743,3.841
39,,Suíça,464,34.430
40,,Tunísia,-,-
41,,Ucrânia,-,-
42,,Uruguai,10.814,45.704
43,,Não consta na tabela,-,-
44,,Não declarados,-,-
45,,Outros,-,-
