,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,26,95
2,,"Alemanha, República Democrática",3.660,25.467
3,,Angola,345,1.065
4,,Anguilla,-,-
5,,Antígua e Barbuda,219,1.549
6,,Antilhas Holandesas,-,-
7,,Arábia Saudita,-,-
8,,Argélia,-,-
9,,Argentina,-,-
10,,Aruba,-,-
11,,Austrália,1.161,4.682
12,,Áustria,-,-
13,,Bahamas,791,3.124
14,,Bangladesh,-,-
15,,Barbados,36,394
16,,Barein,482,2.144
17,,Bélgica,2.498,12.548
18,,Belice,9,29
19,,Benin,9,9
20,,Bermudas,-,-
21,,Bolívia,-,-
22,,Bósnia-Herzegovina,-,-
23,,Brasil,-,-
24,,Bulgária,-,-
25,,Cabo Verde,-,-
26,,Camarões,-,-
27,,Canadá,1.589,6.933
28,,Catar,-,-
29,,"Cayman, Ilhas",19,106
30,,Chile,-,-
31,,China,129.852,376.828
32,,Chipre,672,1.843
33,,Cingapura,5.044,19.099
34,,"Cocos (Keeling), Ilhas",-,-
35,,Colômbia,897,1.999
36,,Comores,-,-
37,,Congo,-,-
38,,"Coreia, Republica Sul",70,194
39,,Costa do Marfim,-,-
40,,Costa Rica,-,-
41,,Coveite (Kuweit),-,-
42,,Croácia,-,-
43,,Cuba,-,-
44,,Curaçao,33.951,62.067
45,,Dinamarca,240,306
46,,Dominica,-,-
47,,El Salvador,-,-
48,,Emirados Arabes Unidos,450,2.202
49,,Equador,2,3
50,,"Eslovaca, Republica",-,-
51,,Espanha,3.540,1.353
52,,Estados Unidos,209.765,616.274
53,,Estônia,-,-
54,,Filipinas,736,2.486
55,,Finlândia,-,-
56,,França,18.286,67.072
57,,Gabão,-,-
58,,Gana,7.673,10.010
59,,Gibraltar,23,93
60,,Granada,-,-
61,,Grécia,561,1.994
62,,Guatemala,1.597,8.719
63,,Guiana,424,1.311
64,,Guiana Francesa,-,-
65,,Guine Bissau,-,-
66,,Guine Equatorial,-,-
67,,Haiti,81.873,129.803
68,,Honduras,-,-
69,,Hong Kong,9.651,42.020
70,,Hungria,-,-
71,,Ilha de Man,28,175
72,,Ilhas Virgens,-,-
73,,Índia,51,273
74,,Indonésia,-,-
75,,Irã,-,-
76,,Iraque,-,-
77,,Irlanda,-,-
78,,Itália,587,1.625
79,,Jamaica,-,-
80,,Japão,40.621,99.642
81,,Jordânia,-,-
82,,Letônia,-,-
83,,Líbano,-,-
84,,Libéria,4.441,20.068
85,,Luxemburgo,1.666,11.211
86,,Macau,-,-
87,,Malásia,48,110
88,,Malavi,-,-
89,,Malta,3.661,8.828
90,,"Marshall, Ilhas",7.276,15.786
91,,Martinica,-,-
92,,Mauritânia,-,-
93,,México,4,4
94,,Moçambique,-,-
95,,Montenegro,9,46
96,,Namíbia,-,-
97,,Nicarágua,-,-
98,,Nigéria,28.437,38.555
99,,Noruega,628,3.139
100,,Nova Caledônia,-,-
101,,Nova Zelândia,500,2.832
102,,Omã,-,-
103,,Países Baixos,44.882,148.031
104,,Palau,-,-
105,,Panamá,7.918,29.017
106,,Paraguai,2.419.537,3.826.587
107,,Peru,9.755,17.310
108,,Pitcairn,-,-
109,,Polônia,5,11
110,,Porto Rico,-,-
111,,Portugal,18.328,72.413
112,,Quênia,-,-
113,,Reino Unido,34.295,164.592
114,,República Dominicana,-,-
115,,Rússia,-,-
116,,São Cristóvão e Névis,-,-
117,,São Tomé e Príncipe,-,-
118,,São Vicente e Granadinas,-,-
119,,Senegal,-,-
120,,Serra Leoa,18,717
121,,Sérvia,-,-
122,,Singapura,-,-
123,,Suazilândia,-,-
124,,Suécia,28,761
125,,Suíça,2.223,28.503
126,,Suriname,3.206,4.741
127,,Tailândia,128,832
128,,Taiwan (Formosa),12,67
129,,Tanzânia,-,-
130,,"Tcheca, República",2.115,16.391
131,,Togo,-,-
132,,Toquelau,-,-
133,,Trinidade Tobago,-,-
134,,Tunísia,-,-
135,,Turquia,115,209
136,,Tuvalu,-,-
137,,Uruguai,6.180,18.497
138,,Vanuatu,-,-
139,,Venezuela,-,-
140,,Vietnã,20,32
