,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,370.500,942.442
2,,"Alemanha, República Democrática",-,-
3,,Arábia Saudita,-,-
4,,Argentina,19.742.996,34.422.405
5,,Austrália,-,-
6,,Bélgica,-,-
7,,Chile,483.305,971.604
8,,China,-,-
9,,China Continental,53.000,65.028
10,,Cingapura,-,-
11,,Costa Rica,-,-
12,,Emirados,-,-
13,,Egito,-,-
14,,Espanha,-,-
15,,Estados Unidos,257.670,671.036
16,,França,-,-
17,,Grécia,1.950,4.287
18,,Guiana Britânica,-,-
19,,Índia,397.130,476.398
20,,Irã,1.194.500,1.975.882
21,,Itália,-,-
22,,Japão,-,-
23,,México,-,-
24,,Países Baixos,-,-
25,,Paraguai,-,-
26,,Peru,10,10
27,,Portugal,-,-
28,,Reino Unido,66,1.494
29,,Suécia,-,-
30,,Turquia,2.834.805,4.001.169
31,,Uruguai,-,-
32,,Uzbequistão,-,-
33,,Venezuela,-,-
34,,Não consta na tabela,-,-
35,,Outros,-,-
