,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,17.583,72.077
1,,Alemanha,26.853,169.989
2,,Argentina,757.716,2.282.614
3,,Austrália,16.701,27.592
4,,Áustria,1.269,11.571
5,,Bermudas,-,-
6,,Bahamas,-,-
7,,Bélgica,-,-
8,,Brasil,15.464,238.268
9,,Bulgária,-,-
10,,Canada,-,-
11,,Chile,233.064,912.613
12,,Croácia,-,-
13,,Cuba,-,-
14,,Emirados Árabes Unidos,-,-
15,,Eslovênia,518,2.539
16,,Espanha,1.440.241,4.463.736
17,,Estados Unidos,13.239,105.197
18,,França,1.610.293,13.991.734
19,,Geórgia,-,-
20,,Granada,-,-
21,,Grécia,230,318
22,,Hong Kong,-,-
23,,Hungria,585,1.379
24,,Indonésia,66,529
25,,Irlanda,-,-
26,,Israel,5.035,17.085
27,,Itália,1.874.314,4.790.173
28,,Japão,-,-
29,,Luxemburgo,518,4.067
30,,México,133,1.104
31,,Moldávia,-,-
32,,Nova Zelândia,72,657
33,,Países Baixos,827,47.027
34,,Panamá,-,-
35,,Peru,-,-
36,,Portugal,144.296,621.259
37,,Reino Unido,1.320,11.869
38,,Romênia,-,-
39,,Suíça,-,-
40,,Tunísia,-,-
41,,Ucrânia,-,-
42,,Uruguai,2.241,22.983
43,,Não consta na tabela,-,-
44,,Não declarados,-,-
45,,Outros,-,-
