,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,151.500,397.825
2,,"Alemanha, República Democrática",-,-
3,,Arábia Saudita,-,-
4,,Argentina,19.758.017,36.404.746
5,,Austrália,-,-
6,,Bélgica,-,-
7,,Chile,4.411.180,7.107.544
8,,China,72.000,111.390
9,,China Continental,-,-
10,,Cingapura,-,-
11,,Costa Rica,-,-
12,,Emirados,-,-
13,,Egito,-,-
14,,Espanha,-,-
15,,Estados Unidos,7.578,58.262
16,,França,-,-
17,,Grécia,-,-
18,,Guiana Britânica,-,-
19,,Índia,1.293.900,1.379.545
20,,Irã,786.500,1.832.934
21,,Itália,-,-
22,,Japão,-,-
23,,México,-,-
24,,Países Baixos,-,-
25,,Paraguai,-,-
26,,Peru,25.000,40.630
27,,Portugal,-,-
28,,Reino Unido,-,-
29,,Suécia,-,-
30,,Turquia,2.621.500,4.152.236
31,,Uruguai,-,-
32,,Uzbequistão,2.045.600,2.433.719
33,,Venezuela,-,-
34,,Não consta na tabela,-,-
35,,Outros,-,-
