,categoria,países,quantidade (kg),valor (us$)
0,,África do Sul,34.344,49.753
1,,"Alemanha, República Democrática da",5,24
2,,Angola,86.536,91.839
3,,Antígua e Barbuda,48,57
4,,Antilhas Holandesas,-,-
5,,Arábia Saudita,-,-
6,,Argélia,-,-
7,,Argentina,1.060,4.845
8,,Aruba,-,-
9,,Austrália,15.499,34.539
10,,Áustria,-,-
11,,Bahamas,1.374,2.511
12,,Bangladesh,48,68
13,,Barbados,153,362
14,,Barein,24,7
15,,Bélgica,3.210,7.586
16,,Belize,45,333
17,,Benin,-,-
18,,Bermudas,-,-
19,,Birmânia,-,-
20,,Bolívia,22.695,29.041
21,,Brasil,-,-
22,,Bulgária,-,-
23,,Cabo Verde,-,-
24,,Camarões,-,-
25,,Canadá,43.210,105.551
26,,Catar,-,-
27,,"Cayman, Ilhas",396,445
28,,Chile,2.923,1.932
29,,China,1.212.412,2.226.651
30,,Chipre,114,142
31,,Cingapura,-,-
32,,Colômbia,-,-
33,,Congo,-,-
34,,Coreia do Sul,39.780,64.740
35,,Costa do Marfim,-,-
36,,Costa Rica,-,-
37,,Coveite,-,-
38,,Cuba,-,-
39,,Curaçao,403,802
40,,Dinamarca,36,27
41,,"Dominica, Ilha de",-,-
42,,El Salvador,-,-
43,,Emirados Árabes Unidos,-,-
44,,Equador,13.800,17.716
45,,Espanha,-,-
46,,Estados Unidos,431.004,848.282
47,,Falkland (Malvinas),-,-
48,,Filipinas,12.389,12.734
49,,Finlândia,45,89
50,,França,2,1
51,,Gabão,-,-
52,,Gana,35.559,55.463
53,,Gibraltar,48,46
54,,Granada,120,167
55,,Grécia,144,160
56,,Guatemala,-,-
57,,Guiana,6,19
58,,Guiana Francesa,90,46
59,,Guiné Bissau,-,-
60,,Guine Equatorial,-,-
61,,Haiti,267,36
62,,Hong Kong,15.159,28.840
63,,Hungria,-,-
64,,Ilha de Man,24,25
65,,India,220,496
66,,Indonésia,-,-
67,,Irã,-,-
68,,Iraque,-,-
69,,Irlanda,3.728,5.977
70,,Israel,-,-
71,,Itália,6.120,13.764
72,,Iugoslâvia,-,-
73,,Jamaica,-,-
74,,Japão,2.187.768,4.777.682
75,,Líbano,-,-
76,,Libéria,1.618,2.054
77,,Líbia,265.152,278.404
78,,Luxemburgo,24,23
79,,Malásia,16.695,36.729
80,,Malta,915,1.564
81,,"Marshall, Ilhas",4.002,6.122
82,,Mauritânia,-,-
83,,México,4.516,10.837
84,,Moçambique,-,-
85,,Mônaco,-,-
86,,Montenegro,-,-
87,,Namíbia,-,-
88,,Nigéria,1.530,2.430
89,,Noruega,590,1.034
90,,Nova Caledônia,-,-
91,,Nova Zelândia,791,1.741
92,,Países Baixos,793,1.498
93,,Panamá,5.146,8.912
94,,Paquistão,-,-
95,,Paraguai,167.679,196.541
96,,Peru,38.173,81.563
97,,Polônia,-,-
98,,Porto Rico,24.380,53.636
99,,Portugal,146.637,133.524
100,,Quênia,-,-
101,,Reino Unido,6.412,13.508
102,,República Centro Africana,-,-
103,,República Dominicana,25.440,80.791
104,,República Federativa da Rússia,-,-
105,,Rússia,24,37
106,,São Tomé e Príncipe,-,-
107,,Senegal,-,-
108,,Serra Leoa,-,-
109,,Singapura,1.449,2.509
110,,Sri Lanka,-,-
111,,Suécia,-,-
112,,Suíça,144,155
113,,Suriname,2.650,6.758
114,,Tailândia,-,-
115,,Taiwan (Formosa),33.375,93.988
116,,Tanzânia,-,-
117,,"Tcheca, República",-,-
118,,Togo,-,-
119,,Toquelau,-,-
120,,Trinidade e Tobago,-,-
121,,Turquia,-,-
122,,Uruguai,-,-
123,,Vanuatu,12,9
124,,Venezuela,-,-
