,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,617.500,1.487.082
2,,"Alemanha, República Democrática",-,-
3,,Arábia Saudita,-,-
4,,Argentina,23.280.908,34.643.821
5,,Austrália,-,-
6,,Bélgica,-,-
7,,Chile,365.670,613.554
8,,China,-,-
9,,China Continental,-,-
10,,Cingapura,-,-
11,,Costa Rica,-,-
12,,Emirados,-,-
13,,Egito,-,-
14,,Espanha,-,-
15,,Estados Unidos,236.134,636.045
16,,França,-,-
17,,Grécia,4.000,9.248
18,,Guiana Britânica,-,-
19,,Índia,162.000,346.815
20,,Irã,493.000,1.113.453
21,,Itália,-,-
22,,Japão,-,-
23,,México,-,-
24,,Países Baixos,-,-
25,,Paraguai,-,-
26,,Peru,-,-
27,,Portugal,-,-
28,,Reino Unido,21,402
29,,Suécia,-,-
30,,Turquia,2.386.092,3.162.573
31,,Uruguai,-,-
32,,Uzbequistão,-,-
33,,Venezuela,-,-
34,,Não consta na tabela,-,-
35,,Outros,-,-
