,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,578.829,1.686.226
1,,Alemanha,158.386,606.333
2,,Argélia,0,43
3,,Arábia Saudita,0,43
4,,Argentina,14.098.009,45.214.862
5,,Armênia,-,-
6,,Austrália,498.515,1.537.834
7,,Áustria,1.485,7.551
8,,Bermudas,-,-
9,,Bélgica,7,1.090
10,,Bolívia,-,-
11,,Bósnia-Herzegovina,-,-
12,,Brasil,183,2.127
13,,Bulgária,17.777,55.253
14,,Canada,-,-
15,,Chile,43.400.991,123.183.079
16,,China,108,213
17,,"Coreia do Sul, República",-,-
18,,Croácia,-,-
19,,Cuba,-,-
20,,Emirados Árabes Unidos,2.175,35.489
21,,Eslovênia,14.366,46.972
22,,Eslováquia,1.305,3.878
23,,Espanha,3.948.614,12.221.512
24,,Estados Unidos,725.420,2.924.715
25,,França,3.831.566,15.940.341
26,,Geórgia,-,-
27,,"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
28,,Grécia,6.568,18.637
29,,Hong Kong,-,-
30,,Hungria,8.315,58.756
31,,Indonésia,0,43
32,,Irlanda,0,43
33,,Israel,12.548,44.277
34,,Itália,7.936.409,22.216.811
35,,Japão,-,-
36,,Iugoslávia,-,-
37,,Líbano,10.665,71.374
38,,Luxemburgo,0,43
39,,Macedônia,-,-
40,,Marrocos,-,-
41,,México,-,-
42,,Moldávia,-,-
43,,Montenegro,-,-
44,,Noruega,396,253
45,,Nova Zelândia,50.177,361.030
46,,Países Baixos (Holanda),0,43
47,,Panamá,-,-
48,,Paraguai,-,-
49,,Peru,-,-
50,,Porto Rico,-,-
51,,Portugal,10.821.232,29.495.190
52,,Reino Unido,5,255
53,,Republica Dominicana,0,43
54,,Romênia,-,-
55,,Rússia,0,43
56,,San Marino,-,-
57,,Sérvia,-,-
58,,Síria,-,-
59,,Suazilândia,-,-
60,,Suíça,6,245
61,,"Tcheca, República",-,-
62,,Tunísia,-,-
63,,Turquia,-,-
64,,Ucrânia,5.319,9.679
65,,Uruguai,2.215.692,5.099.162
66,,Não consta na tabela,-,-
67,,Não declarados,-,-
68,,Outros,-,-
