,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,103,1.783
2,,"Alemanha, República Democrática",6.666,48.095
3,,Angola,-,-
4,,Anguilla,-,-
5,,Antígua e Barbuda,447,3.329
6,,Antilhas Holandesas,-,-
7,,Arábia Saudita,32,54
8,,Argélia,6,87
9,,Argentina,21.015,167.696
10,,Aruba,-,-
11,,Austrália,2.070,19.152
12,,Áustria,-,-
13,,Bahamas,1.632,7.457
14,,Bangladesh,-,-
15,,Barbados,773,580
16,,Barein,178,1.044
17,,Bélgica,960,8.334
18,,Belice,-,-
19,,Benin,-,-
20,,Bermudas,102,823
21,,Bolívia,20.334,30.293
22,,Bósnia-Herzegovina,-,-
23,,Brasil,96,244
24,,Bulgária,18,184
25,,Cabo Verde,-,-
26,,Camarões,-,-
27,,Canadá,4.320,35.179
28,,Catar,-,-
29,,"Cayman, Ilhas",180,591
30,,Chile,-,-
31,,China,34.231,182.595
32,,Chipre,988,4.308
33,,Cingapura,-,-
34,,"Cocos (Keeling), Ilhas",-,-
35,,Colômbia,-,-
36,,Comores,-,-
37,,Congo,2.340,3.753
38,,"Coreia, Republica Sul",173,1.050
39,,Costa do Marfim,-,-
40,,Costa Rica,-,-
41,,Coveite (Kuweit),16,72
42,,Croácia,23,44
43,,Cuba,-,-
44,,Curaçao,25.146,50.990
45,,Dinamarca,11,185
46,,Dominica,947,4.545
47,,El Salvador,-,-
48,,Emirados Arabes Unidos,1.688,8.253
49,,Equador,-,-
50,,"Eslovaca, Republica",-,-
51,,Espanha,191,2.062
52,,Estados Unidos,310.410,648.724
53,,Estônia,-,-
54,,Filipinas,11.514,27.378
55,,Finlândia,-,-
56,,França,3.729,29.768
57,,Gabão,5,18
58,,Gana,54.828,91.317
59,,Gibraltar,5,13
60,,Granada,-,-
61,,Grécia,617,2.051
62,,Guatemala,7.957,14.268
63,,Guiana,115.884,349.244
64,,Guiana Francesa,-,-
65,,Guine Bissau,-,-
66,,Guine Equatorial,2.250,4.279
67,,Haiti,450.690,713.158
68,,Honduras,-,-
69,,Hong Kong,6.696,30.490
70,,Hungria,14,27
71,,Ilha de Man,124,587
72,,Ilhas Virgens,-,-
73,,Índia,-,-
74,,Indonésia,-,-
75,,Irã,-,-
76,,Iraque,-,-
77,,Irlanda,32,132
78,,Itália,2.431,11.642
79,,Jamaica,-,-
80,,Japão,29.320,66.956
81,,Jordânia,-,-
82,,Letônia,33.273,144.229
83,,Líbano,-,-
84,,Libéria,12.024,38.576
85,,Luxemburgo,72,832
86,,Macau,-,-
87,,Malásia,-,-
88,,Malavi,-,-
89,,Malta,6.302,16.586
90,,"Marshall, Ilhas",5.628,23.195
91,,Martinica,-,-
92,,Mauritânia,-,-
93,,México,2.277,7.938
94,,Moçambique,-,-
95,,Montenegro,-,-
96,,Namíbia,-,-
97,,Nicarágua,-,-
98,,Nigéria,808,2.052
99,,Noruega,309,2.185
100,,Nova Caledônia,-,-
101,,Nova Zelândia,-,-
102,,Omã,-,-
103,,Países Baixos,3.074,22.785
104,,Palau,30,320
105,,Panamá,121.432,97.549
106,,Paraguai,3.705.268,5.121.857
107,,Peru,-,-
108,,Pitcairn,-,-
109,,Polônia,-,-
110,,Porto Rico,-,-
111,,Portugal,26.340,50.923
112,,Quênia,-,-
113,,Reino Unido,14.780,106.713
114,,República Dominicana,-,-
115,,Rússia,56,338
116,,São Cristóvão e Névis,-,-
117,,São Tomé e Príncipe,-,-
118,,São Vicente e Granadinas,-,-
119,,Senegal,-,-
120,,Serra Leoa,36.608,68.151
121,,Sérvia,10.482,25.379
122,,Singapura,4.141,20.048
123,,Suazilândia,-,-
124,,Suécia,-,-
125,,Suíça,2.350,23.791
126,,Suriname,27.900,71.483
127,,Tailândia,266,1.910
128,,Taiwan (Formosa),-,-
129,,Tanzânia,3,35
130,,"Tcheca, República",2.273,20.973
131,,Togo,27.630,48.070
132,,Toquelau,-,-
133,,Trinidade Tobago,64,199
134,,Tunísia,-,-
135,,Turquia,216,540
136,,Tuvalu,-,-
137,,Uruguai,36.729,62.325
138,,Vanuatu,-,-
139,,Venezuela,122.922,199.418
140,,Vietnã,16,41
