,tipo,categoria,pais_origem,pais_destino,ano,kg,valor
87,Vinhos de mesa,,Brasil,Malásia,2009,,
88,Vinhos de mesa,,Brasil,Malavi,2009,,
89,Vinhos de mesa,,Brasil,Malta,2009,,
90,Vinhos de mesa,,Brasil,"Marshall, Ilhas",2009,,
91,Vinhos de mesa,,Brasil,Martinica,2009,,
92,Vinhos de mesa,,Brasil,Mauritânia,2009,,
93,Vinhos de mesa,,Brasil,México,2009,,
94,Vinhos de mesa,,Brasil,Moçambique,2009,,
95,Vinhos de mesa,,Brasil,Montenegro,2009,,
96,Vinhos de mesa,,Brasil,Namíbia,2009,,
97,Vinhos de mesa,,Brasil,Nicarágua,2009,24.0,24.0
98,Vinhos de mesa,,Brasil,Nigéria,2009,41.0,115.0
99,Vinhos de mesa,,Brasil,Noruega,2009,,
100,Vinhos de mesa,,Brasil,Nova Caledônia,2009,,
101,Vinhos de mesa,,Brasil,Nova Zelândia,2009,,
102,Vinhos de mesa,,Brasil,Omã,2009,,
103,Vinhos de mesa,,Brasil,Países Baixos,2009,171654.0,136991.0
104,Vinhos de mesa,,Brasil,Palau,2009,,
105,Vinhos de mesa,,Brasil,Panamá,2009,24.0,30.0
106,Vinhos de mesa,,Brasil,Paraguai,2009,486927.0,392087.0
107,Vinhos de mesa,,Brasil,Peru,2009,,
108,Vinhos de mesa,,Brasil,Pitcairn,2009,,
109,Vinhos de mesa,,Brasil,Polônia,2009,6982.0,35797.0
110,Vinhos de mesa,,Brasil,Porto Rico,2009,,
111,Vinhos de mesa,,Brasil,Portugal,2009,141000.0,168923.0
112,Vinhos de mesa,,Brasil,Quênia,2009,,
113,Vinhos de mesa,,Brasil,Reino Unido,2009,30092.0,68788.0
114,Vinhos de mesa,,Brasil,República Dominicana,2009,,
115,Vinhos de mesa,,Brasil,Rússia,2009,21912914.0,5732280.0
116,Vinhos de mesa,,Brasil,São Cristóvão e Névis,2009,,
117,Vinhos de mesa,,Brasil,São Tomé e Príncipe,2009,,
118,Vinhos de mesa,,Brasil,São Vicente e Granadinas,2009,,
119,Vinhos de mesa,,Brasil,Senegal,2009,,
120,Vinhos de mesa,,Brasil,Serra Leoa,2009,,
121,Vinhos de mesa,,Brasil,Sérvia,2009,,
122,Vinhos de mesa,,Brasil,Singapura,2009,,
123,Vinhos de mesa,,Brasil,Suazilândia,2009,,
124,Vinhos de mesa,,Brasil,Suécia,2009,28334.0,52826.0
125,Vinhos de mesa,,Brasil,Suíça,2009,27653.0,81319.0
126,Vinhos de mesa,,Brasil,Suriname,2009,3830.0,12918.0
127,Vinhos de mesa,,Brasil,Tailândia,2009,,
128,Vinhos de mesa,,Brasil,Taiwan (Formosa),2009,,
129,Vinhos de mesa,,Brasil,Tanzânia,2009,,
130,Vinhos de mesa,,Brasil,"Tcheca, República",2009,9269.0,43902.0
131,Vinhos de mesa,,Brasil,Togo,2009,,
132,Vinhos de mesa,,Brasil,Toquelau,2009,,
133,Vinhos de mesa,,Brasil,Trinidade Tobago,2009,,
134,Vinhos de mesa,,Brasil,Tunísia,2009,,
135,Vinhos de mesa,,Brasil,Turquia,2009,,
136,Vinhos de mesa,,Brasil,Tuvalu,2009,,
137,Vinhos de mesa,,Brasil,Uruguai,2009,,
138,Vinhos de mesa,,Brasil,Vanuatu,2009,,
139,Vinhos de mesa,,Brasil,Venezuela,2009,,
140,Vinhos de mesa,,Brasil,Vietnã,2009,743.0,2143.0
141,Vinhos de mesa,,Brasil,Afeganistão,2010,,
142,Vinhos de mesa,,Brasil,África do Sul,2010,,
143,Vinhos de mesa,,Brasil,"Alemanha, República Democrática",2010,27715.0,138666.0
144,Vinhos de mesa,,Brasil,Angola,2010,33557.0,189891.0
145,Vinhos de mesa,,Brasil,Anguilla,2010,,
146,Vinhos de mesa,,Brasil,Antígua e Barbuda,2010,,
147,Vinhos de mesa,,Brasil,Antilhas Holandesas,2010,9810.0,12808.0
148,Vinhos de mesa,,Brasil,Arábia Saudita,2010,,
149,Vinhos de mesa,,Brasil,Argélia,2010,,
150,Vinhos de mesa,,Brasil,Argentina,2010,,
151,Vinhos de mesa,,Brasil,Aruba,2010,,
152,Vinhos de mesa,,Brasil,Austrália,2010,1823.0,17960.0
153,Vinhos de mesa,,Brasil,Áustria,2010,,
154,Vinhos de mesa,,Brasil,Bahamas,2010,3175.0,12759.0
155,Vinhos de mesa,,Brasil,Bangladesh,2010,,
156,Vinhos de mesa,,Brasil,Barbados,2010,,
157,Vinhos de mesa,,Brasil,Barein,2010,,
158,Vinhos de mesa,,Brasil,Bélgica,2010,42532.0,185411.0
159,Vinhos de mesa,,Brasil,Belice,2010,,
160,Vinhos de mesa,,Brasil,Benin,2010,,
161,Vinhos de mesa,,Brasil,Bermudas,2010,,
162,Vinhos de mesa,,Brasil,Bolívia,2010,54.0,282.0
163,Vinhos de mesa,,Brasil,Bósnia-Herzegovina,2010,,
164,Vinhos de mesa,,Brasil,Brasil,2010,,
