,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,24.954,133.975
1,,Alemanha,1.260,9.975
2,,Argentina,963.574,3.985.004
3,,Austrália,-,-
4,,Áustria,180,1.139
5,,Bermudas,-,-
6,,Bahamas,-,-
7,,Bélgica,-,-
8,,Brasil,60.601,313.190
9,,Bulgária,-,-
10,,Canada,-,-
11,,Chile,137.790,484.791
12,,Croácia,-,-
13,,Cuba,-,-
14,,Emirados Árabes Unidos,-,-
15,,Eslovênia,78,221
16,,Espanha,1.054.367,4.537.094
17,,Estados Unidos,15.461,88.292
18,,França,1.852.431,22.744.192
19,,Geórgia,-,-
20,,Granada,-,-
21,,Grécia,-,-
22,,Hong Kong,2.607,15.170
23,,Hungria,404,1.317
24,,Indonésia,-,-
25,,Irlanda,-,-
26,,Israel,310,6.552
27,,Itália,1.123.066,4.953.550
28,,Japão,-,-
29,,Luxemburgo,252,1.115
30,,México,-,-
31,,Moldávia,-,-
32,,Nova Zelândia,270,3.046
33,,Países Baixos,-,-
34,,Panamá,-,-
35,,Peru,-,-
36,,Portugal,77.260,382.541
37,,Reino Unido,-,-
38,,Romênia,-,-
39,,Suíça,-,-
40,,Tunísia,1.988,4.035
41,,Ucrânia,-,-
42,,Uruguai,87,600
43,,Não consta na tabela,-,-
44,,Não declarados,-,-
45,,Outros,-,-
