,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,-,-
1,,África do Sul,-,-
2,,"Alemanha, República Democrática",7.630,45.367
3,,Angola,4.068,4.761
4,,Anguilla,-,-
5,,Antígua e Barbuda,419,1.866
6,,Antilhas Holandesas,-,-
7,,Arábia Saudita,-,-
8,,Argélia,-,-
9,,Argentina,480,3.232
10,,Aruba,-,-
11,,Austrália,1.424,12.299
12,,Áustria,6,212
13,,Bahamas,1.215,5.799
14,,Bangladesh,7,84
15,,Barbados,220,1.145
16,,Barein,979,2.789
17,,Bélgica,828,6.145
18,,Belice,-,-
19,,Benin,-,-
20,,Bermudas,-,-
21,,Bolívia,32.530,49.011
22,,Bósnia-Herzegovina,-,-
23,,Brasil,2.504,952
24,,Bulgária,5,31
25,,Cabo Verde,-,-
26,,Camarões,-,-
27,,Canadá,1.183,5.784
28,,Catar,-,-
29,,"Cayman, Ilhas",160,958
30,,Chile,2.094,7.986
31,,China,105.395,404.647
32,,Chipre,1.521,4.458
33,,Cingapura,-,-
34,,"Cocos (Keeling), Ilhas",26,60
35,,Colômbia,8.217,14.068
36,,Comores,-,-
37,,Congo,-,-
38,,"Coreia, Republica Sul",77,257
39,,Costa do Marfim,-,-
40,,Costa Rica,-,-
41,,Coveite (Kuweit),-,-
42,,Croácia,34,484
43,,Cuba,16,6
44,,Curaçao,40.673,66.950
45,,Dinamarca,2,6
46,,Dominica,1.485,2.223
47,,El Salvador,-,-
48,,Emirados Arabes Unidos,4.781,85.465
49,,Equador,135,210
50,,"Eslovaca, Republica",-,-
51,,Espanha,-,-
52,,Estados Unidos,220.373,447.893
53,,Estônia,-,-
54,,Filipinas,375,790
55,,Finlândia,-,-
56,,França,5.694,25.008
57,,Gabão,-,-
58,,Gana,35.949,49.304
59,,Gibraltar,-,-
60,,Granada,5.610,7.914
61,,Grécia,920,2.426
62,,Guatemala,1.283,5.350
63,,Guiana,2.064,5.823
64,,Guiana Francesa,22,18
65,,Guine Bissau,-,-
66,,Guine Equatorial,-,-
67,,Haiti,553.503,741.014
68,,Honduras,-,-
69,,Hong Kong,9.371,38.218
70,,Hungria,-,-
71,,Ilha de Man,165,641
72,,Ilhas Virgens,-,-
73,,Índia,247,1.021
74,,Indonésia,-,-
75,,Irã,47,90
76,,Iraque,-,-
77,,Irlanda,-,-
78,,Itália,1.129,6.151
79,,Jamaica,-,-
80,,Japão,37.324,82.208
81,,Jordânia,-,-
82,,Letônia,-,-
83,,Líbano,-,-
84,,Libéria,9.145,34.815
85,,Luxemburgo,36,802
86,,Macau,-,-
87,,Malásia,-,-
88,,Malavi,-,-
89,,Malta,3.127,15.587
90,,"Marshall, Ilhas",7.240,27.178
91,,Martinica,-,-
92,,Mauritânia,-,-
93,,México,6,33
94,,Moçambique,383,1.927
95,,Montenegro,-,-
96,,Namíbia,-,-
97,,Nicarágua,-,-
98,,Nigéria,32.234,50.283
99,,Noruega,2.711,40.316
100,,Nova Caledônia,-,-
101,,Nova Zelândia,63,156
102,,Omã,194,670
103,,Países Baixos,7.034,37.240
104,,Palau,-,-
105,,Panamá,11.490,49.392
106,,Paraguai,5.076.670,7.156.293
107,,Peru,-,-
108,,Pitcairn,-,-
109,,Polônia,-,-
110,,Porto Rico,-,-
111,,Portugal,1.918,7.613
112,,Quênia,1.440,2.080
113,,Reino Unido,18.835,138.154
114,,República Dominicana,-,-
115,,Rússia,66.046,118.618
116,,São Cristóvão e Névis,-,-
117,,São Tomé e Príncipe,-,-
118,,São Vicente e Granadinas,20,51
119,,Senegal,-,-
120,,Serra Leoa,8.101,15.182
121,,Sérvia,-,-
122,,Singapura,4.322,15.434
123,,Suazilândia,-,-
124,,Suécia,5,18
125,,Suíça,1.584,20.863
126,,Suriname,1.225,3.360
127,,Tailândia,432,1.713
128,,Taiwan (Formosa),25,277
129,,Tanzânia,-,-
130,,"Tcheca, República",1.305,9.997
131,,Togo,17.317,25.608
132,,Toquelau,-,-
133,,Trinidade Tobago,-,-
134,,Tunísia,-,-
135,,Turquia,418,503
136,,Tuvalu,-,-
137,,Uruguai,637.117,997.367
138,,Vanuatu,-,-
139,,Venezuela,23.220,32.351
140,,Vietnã,130,277
