,categoria,países,quantidade (kg),valor (us$)
0,,África do Sul,-,-
1,,Alemanha,2.388,14.767
2,,Angola,24,38
3,,Antigua e Barbuda,32,328
4,,Antilhas Holandesas,-,-
5,,Argentina,315,894
6,,Aruba,-,-
7,,Australia,144,503
8,,Bahamas,434,1.033
9,,Bangladesh,-,-
10,,Barbados,57,105
11,,Belgica,-,-
12,,Benin,24,181
13,,Bermudas,-,-
14,,Bolívia,5.994,16.901
15,,Bósnia-Herzegovina,168,161
16,,Bulgaria,-,-
17,,Cabo Verde,-,-
18,,Camarões,-,-
19,,Canada,413,3.063
20,,Catar,78,6.651
21,,"Cayman, Ilhas",-,-
22,,Chile,90,346
23,,China,29.921,103.986
24,,Chipre,307,1.019
25,,Cingapura,-,-
26,,Colombia,24.578,74.854
27,,"Coreia do Sul, Republica da",24,53
28,,Costa Rica,-,-
29,,Cuba,-,-
30,,Curaçao,2.186,8.451
31,,Dinamarca,452,1.798
32,,Djibuti,-,-
33,,Dominica,-,-
34,,El Salvador,-,-
35,,Emirados Arabes Unidos,9,36
36,,Equador,-,-
37,,Espanha,29,230
38,,Estados Unidos,634.243,1.647.310
39,,Estonia,-,-
40,,Falkland (Malvinas),-,-
41,,Filipinas,-,-
42,,Filânldia,1.078,7.065
43,,França,7.481,37.286
44,,Gana,-,-
45,,Gibraltar,-,-
46,,Granada,-,-
47,,Grécia,97,309
48,,Guatemala,760,4.318
49,,Guiana,-,-
50,,Guiné Equatorial,-,-
51,,Guiné-Bissau,-,-
52,,Haiti,1.331,2.737
53,,Honduras,-,-
54,,Hong Kong,4.124,11.770
55,,Hungria,-,-
56,,Ilha de Man,-,-
57,,Índia,25,80
58,,Iraque,-,-
59,,Irlanda,-,-
60,,Islândia,10,45
61,,Itália,150,253
62,,Japão,7.294,28.930
63,,Jordânia,30,103
64,,Letônia,-,-
65,,Líbano,-,-
66,,Libéria,1.105,6.684
67,,Luxemburgo,-,-
68,,Maldivas,-,-
69,,Malta,1.692,2.862
70,,Marrocos,-,-
71,,"Marshall, Ilhas",2.093,4.587
72,,Montenegro,-,-
73,,México,-,-
74,,Nicarágua,-,-
75,,Nigéria,4.613,15.728
76,,Noruega,172,321
77,,Nova Zelândia,-,-
78,,Países Baixos (Holanda),38,717
79,,Panamá,7.163,15.019
80,,Paraguai,16.231,48.614
81,,Peru,-,-
82,,Polônia,14,19
83,,Porto Rico,-,-
84,,Portugal,631,11.065
85,,Quênia,-,-
86,,Reino Unido,8.084,42.414
87,,Republica Dominicana,-,-
88,,Republica Tcheca,-,-
89,,Rússia,-,-
90,,Serra Leoa,450,2.140
91,,Sérvia,-,-
92,,Singapura,979,2.193
93,,Suécia,-,-
94,,Suíça,672,227
95,,Suriname,-,-
96,,Tailândia,16,287
97,,Taiwan (Formosa),995,4.212
98,,"Tcheca, República",-,-
99,,Togo,-,-
100,,Trinidade e Tobago,-,-
101,,Turquia,18,75
102,,Uruguai,1.796,15.322
103,,Vanuatu,14,31
104,,Venezuela,-,-
105,,Vietnã,-,-
106,,Outros(1),-,-
