,categoria,países,quantidade (kg),valor (us$)
0,,Afeganistão,11,46
1,,África do Sul,-,-
2,,"Alemanha, República Democrática",2.698,6.741
3,,Angola,-,-
4,,Anguilla,-,-
5,,Antígua e Barbuda,805,2.268
6,,Antilhas Holandesas,-,-
7,,Arábia Saudita,-,-
8,,Argélia,-,-
9,,Argentina,6,13
10,,Aruba,-,-
11,,Austrália,705,4.034
12,,Áustria,-,-
13,,Bahamas,1.083,4.567
14,,Bangladesh,2,20
15,,Barbados,216,844
16,,Barein,302,894
17,,Bélgica,483,3.749
18,,Belice,-,-
19,,Benin,-,-
20,,Bermudas,-,-
21,,Bolívia,5.850,8.360
22,,Bósnia-Herzegovina,-,-
23,,Brasil,31,46
24,,Bulgária,-,-
25,,Cabo Verde,16,124
26,,Camarões,-,-
27,,Canadá,1.172,6.157
28,,Catar,1,2
29,,"Cayman, Ilhas",104,356
30,,Chile,26,6
31,,China,61.884,264.116
32,,Chipre,1.855,4.530
33,,Cingapura,-,-
34,,"Cocos (Keeling), Ilhas",-,-
35,,Colômbia,12.160,21.867
36,,Comores,-,-
37,,Congo,-,-
38,,"Coreia, Republica Sul",67,100
39,,Costa do Marfim,-,-
40,,Costa Rica,-,-
41,,Coveite (Kuweit),-,-
42,,Croácia,-,-
43,,Cuba,-,-
44,,Curaçao,32.263,58.993
45,,Dinamarca,87,504
46,,Dominica,460,634
47,,El Salvador,-,-
48,,Emirados Arabes Unidos,810,10.522
49,,Equador,-,-
50,,"Eslovaca, Republica",-,-
51,,Espanha,-,-
52,,Estados Unidos,111.085,203.554
53,,Estônia,-,-
54,,Filipinas,2.784,10.368
55,,Finlândia,-,-
56,,França,7.052,23.742
57,,Gabão,-,-
58,,Gana,12.578,19.196
59,,Gibraltar,-,-
60,,Granada,-,-
61,,Grécia,908,3.014
62,,Guatemala,17.347,29.100
63,,Guiana,2.372,6.525
64,,Guiana Francesa,90,32
65,,Guine Bissau,-,-
66,,Guine Equatorial,-,-
67,,Haiti,670.379,831.181
68,,Honduras,-,-
69,,Hong Kong,12.507,39.390
70,,Hungria,87,583
71,,Ilha de Man,97,445
72,,Ilhas Virgens,-,-
73,,Índia,13,86
74,,Indonésia,-,-
75,,Irã,116,287
76,,Iraque,-,-
77,,Irlanda,36,208
78,,Itália,696,3.715
79,,Jamaica,-,-
80,,Japão,39.491,90.275
81,,Jordânia,-,-
82,,Letônia,-,-
83,,Líbano,-,-
84,,Libéria,7.554,23.060
85,,Luxemburgo,-,-
86,,Macau,-,-
87,,Malásia,-,-
88,,Malavi,-,-
89,,Malta,3.441,15.454
90,,"Marshall, Ilhas",8.644,22.561
91,,Martinica,-,-
92,,Mauritânia,9,85
93,,México,9,2
94,,Moçambique,-,-
95,,Montenegro,14,65
96,,Namíbia,-,-
97,,Nicarágua,-,-
98,,Nigéria,68.247,113.172
99,,Noruega,1.878,8.320
100,,Nova Caledônia,7.227,11.924
101,,Nova Zelândia,657,10.477
102,,Omã,-,-
103,,Países Baixos,3.791,8.484
104,,Palau,-,-
105,,Panamá,29.520,48.444
106,,Paraguai,6.522.527,7.192.362
107,,Peru,9.720,17.107
108,,Pitcairn,-,-
109,,Polônia,4,14
110,,Porto Rico,-,-
111,,Portugal,6.358,42.633
112,,Quênia,-,-
113,,Reino Unido,25.316,122.394
114,,República Dominicana,-,-
115,,Rússia,181.931,312.926
116,,São Cristóvão e Névis,-,-
117,,São Tomé e Príncipe,-,-
118,,São Vicente e Granadinas,8,48
119,,Senegal,-,-
120,,Serra Leoa,6.525,12.955
121,,Sérvia,-,-
122,,Singapura,4.504,14.346
123,,Suazilândia,10,24
124,,Suécia,23,74
125,,Suíça,627,6.999
126,,Suriname,900,1.472
127,,Tailândia,1.334,2.529
128,,Taiwan (Formosa),1.313,8.153
129,,Tanzânia,-,-
130,,"Tcheca, República",456,5.988
131,,Togo,1.890,2.012
132,,Toquelau,-,-
133,,Trinidade Tobago,-,-
134,,Tunísia,-,-
135,,Turquia,343,878
136,,Tuvalu,-,-
137,,Uruguai,136.774,149.842
138,,Vanuatu,-,-
139,,Venezuela,26.415,35.944
140,,Vietnã,-,-
