,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,30,136
1,,"Alemanha, República Democrática",1.701.887,4.101.648
2,,Angola,-,-
3,,Antígua e Barbuda,260,1.173
4,,Arabia Saudita,2.234,19.382
5,,Argélia,-,-
6,,Argentina,2.265.038,5.234.176
7,,Áustria,20,41
8,,Bahamas,4.871,19.408
9,,Bahrein,-,-
10,,Bangladesh,141,402
11,,Barbados,237,874
12,,Barein,622,2.602
13,,Bélgica,254,1.056
14,,Belize,52,125
15,,Bermudas,194,821
16,,Bolívia,261.712,151.770
17,,Bósnia,-,-
18,,Brasil,170,470
19,,Bulgária,-,-
20,,Burquina Faso,-,-
21,,Cabo Verde,-,-
22,,Camarões,10,66
23,,Camores,-,-
24,,Canadá,1.175.975,3.667.725
25,,Catar,2.210,6.616
26,,"Cayman, Ilhas",278,1.007
27,,Chile,10,38
28,,China,1.210,5.500
29,,Chipre,1.633,5.538
30,,Cingapura,-,-
31,,"Cocos (Keeling), Ilhas",-,-
32,,"Cook, Ilhas",116,839
33,,Colômbia,-,-
34,,Congo,-,-
35,,Coreia do Norte,-,-
36,,Coreia do Sul,366,1.376
37,,Costa do Marfim,-,-
38,,Coveite,3.725,22.339
39,,Croácia,5,12
40,,Curaçao,-,-
41,,Dinamarca,115.901,264.623
42,,Djibuti,-,-
43,,Egito,50,153
44,,Emirados Árabes Unidos,177.198,672.359
45,,Eslovênia,-,-
46,,Espanha,4.177.500,7.656.023
47,,Estados Unidos,19.529.155,58.146.305
48,,Falkland (Ilhas Malvinas),-,-
49,,"Faroé, Ilhas",-,-
50,,Filipinas,171,530
51,,Finlândia,1,21
52,,França,428,2.040
53,,Gabão,83,316
54,,Gana,-,-
55,,Georgia,-,-
56,,Gibraltar,114,472
57,,Grécia,3.036,9.131
58,,Guadalupe,-,-
59,,Guiana,4.999,17.249
60,,Guiana Francesa,705,3.500
61,,Guiné-Bissau,-,-
62,,Guine Equatorial,-,-
63,,Honduras,-,-
64,,Hong Kong,27.717,136.684
65,,Ilha de Man,311,1.282
66,,Ilhas Virgens,-,-
67,,Índia,510,1.781
68,,Indonésia,-,-
69,,Irã,-,-
70,,Iraque,-,-
71,,Irlanda,629.421,1.732.292
72,,Islândia,-,-
73,,Itália,29.040,96.548
74,,Japão,393,1.413
75,,Jérsei,-,-
76,,Jordânia,-,-
77,,Letônia,44,92
78,,Líbano,147,514
79,,Libéria,13.876,55.239
80,,Líbia,5,32
81,,Lituânia,46.041,117.335
82,,Luxemburgo,24,123
83,,Macedônia,10,42
84,,Malásia,74,335
85,,Malta,5.282,21.528
86,,"Marianas do Norte, Ilhas",-,-
87,,Marrocos,-,-
88,,"Marshall, Ilhas",14.858,59.743
89,,Martinica,5,37
90,,Mauricio,-,-
91,,Mauritânia,-,-
92,,Mexico,30,78
93,,Mônaco,-,-
94,,Mongólia,-,-
95,,Montenegro,-,-
96,,Nigéria,-,-
97,,Noruega,464.880,1.524.584
98,,Omã,-,-
99,,Países Baixos,26.855.736,62.427.840
100,,Palau,115,307
101,,Panamá,15.613,58.337
102,,Paquistão,-,-
103,,Paraguai,-,-
104,,Pitcairn,17,68
105,,Polônia,66,124
106,,Porto Rico,-,-
107,,Portugal,14.824,45.165
108,,Quirguistão,20,121
109,,Reino Unido,15.358.148,37.383.249
110,,Republica Dominicana,-,-
111,,Romênia,-,-
112,,"Rússia,  Federação da",-,-
113,,Samoa Americana,-,-
114,,São Cristóvão e Névis,36,152
115,,São Tomé e Príncipe,-,-
116,,São Vicente e Granadinas,20,83
117,,Serra Leoa,2,5
118,,Senegal,-,-
119,,Singapura,15.407,100.508
120,,Sri Lanka,20,30
121,,Suazilândia,-,-
122,,Suécia,-,-
123,,Suíça,3.632,53.106
124,,Suriname,-,-
125,,Tailândia,794,3.413
126,,Taiwan,83,293
127,,Tanzânia,19,76
128,,Togo,-,-
129,,Trindade e Tobago,-,-
130,,Tunísia,-,-
131,,"Turcas e Caicos, ilhas",-,-
132,,Turquia,334,976
133,,Tuvalu,-,-
134,,Uruguai,281.594,547.227
135,,Vanuatu,31,88
136,,Venezuela,-,-
137,,Vietnã,63,177
138,,"Wallis e Futuna, Ilhas",-,-
139,,Provisão de Navios e Aeronaves,-,-
