,categoria,países,quantidade (kg),valor (us$)
0,,África do Sul,2,44
1,,Alemanha,162,1.542
2,,Angola,56.242,315.073
3,,Antigua e Barbuda,24,100
4,,Antilhas Holandesas,-,-
5,,Argentina,8.593,73.239
6,,Aruba,-,-
7,,Australia,10,6
8,,Bahamas,65,268
9,,Bangladesh,-,-
10,,Barbados,32,219
11,,Belgica,-,-
12,,Benin,3,19
13,,Bermudas,-,-
14,,Bolívia,11.410,34.481
15,,Bósnia-Herzegovina,-,-
16,,Bulgaria,-,-
17,,Cabo Verde,-,-
18,,Camarões,-,-
19,,Canada,4.068,15.427
20,,Catar,-,-
21,,"Cayman, Ilhas",5,33
22,,Chile,3.532,15.875
23,,China,16.285,47.822
24,,Chipre,188,707
25,,Cingapura,-,-
26,,Colombia,1.926,6.898
27,,"Coreia do Sul, Republica da",74,222
28,,Costa Rica,-,-
29,,Cuba,-,-
30,,Curaçao,1.288,6.539
31,,Dinamarca,2.790,26.359
32,,Djibuti,-,-
33,,Dominica,-,-
34,,El Salvador,-,-
35,,Emirados Arabes Unidos,126,622
36,,Equador,540,2.000
37,,Espanha,45,853
38,,Estados Unidos,255.198,729.055
39,,Estonia,-,-
40,,Falkland (Malvinas),-,-
41,,Filipinas,20,111
42,,Filânldia,180,1.770
43,,França,-,-
44,,Gana,4.719,35.778
45,,Gibraltar,-,-
46,,Granada,-,-
47,,Grécia,59,320
48,,Guatemala,-,-
49,,Guiana,14.084,71.163
50,,Guiné Equatorial,-,-
51,,Guiné-Bissau,-,-
52,,Haiti,3.969,10.646
53,,Honduras,-,-
54,,Hong Kong,1.355,5.169
55,,Hungria,-,-
56,,Ilha de Man,-,-
57,,Índia,-,-
58,,Iraque,-,-
59,,Irlanda,-,-
60,,Islândia,-,-
61,,Itália,1.460,19.905
62,,Japão,2.311,9.708
63,,Jordânia,-,-
64,,Letônia,-,-
65,,Líbano,-,-
66,,Libéria,973,3.358
67,,Luxemburgo,18,305
68,,Maldivas,4.577,20.204
69,,Malta,1.472,44.498
70,,Marrocos,-,-
71,,"Marshall, Ilhas",1.375,4.886
72,,Montenegro,-,-
73,,México,-,-
74,,Nicarágua,-,-
75,,Nigéria,-,-
76,,Noruega,-,-
77,,Nova Zelândia,303,4.231
78,,Países Baixos (Holanda),3,49
79,,Panamá,7.936,43.115
80,,Paraguai,64.662,192.975
81,,Peru,108,756
82,,Polônia,126,659
83,,Porto Rico,-,-
84,,Portugal,2.191,38.616
85,,Quênia,-,-
86,,Reino Unido,16.057,86.879
87,,Republica Dominicana,-,-
88,,Republica Tcheca,-,-
89,,Rússia,-,-
90,,Serra Leoa,271,1.287
91,,Sérvia,-,-
92,,Singapura,209,599
93,,Suécia,-,-
94,,Suíça,444,4.474
95,,Suriname,-,-
96,,Tailândia,7,43
97,,Taiwan (Formosa),1.099,3.664
98,,"Tcheca, República",167,1.236
99,,Togo,-,-
100,,Trinidade e Tobago,-,-
101,,Turquia,6.930,26.566
102,,Uruguai,2.812,14.352
103,,Vanuatu,-,-
104,,Venezuela,-,-
105,,Vietnã,-,-
106,,Outros(1),-,-
