,categoria,países,quantidade (kg),valor (us$)
0,,Africa do Sul,-,-
1,,"Alemanha, República Democrática",1.461.590,2.569.452
2,,Angola,-,-
3,,Antígua e Barbuda,437,1.349
4,,Arabia Saudita,2.818,14.671
5,,Argélia,-,-
6,,Argentina,4.606.314,7.764.448
7,,Áustria,-,-
8,,Bahamas,3.482,10.184
9,,Bahrein,-,-
10,,Bangladesh,17,53
11,,Barbados,180,457
12,,Barein,277,937
13,,Bélgica,202,664
14,,Belize,55,92
15,,Bermudas,96,323
16,,Bolívia,436.800,250.134
17,,Bósnia,-,-
18,,Brasil,70,173
19,,Bulgária,-,-
20,,Burquina Faso,-,-
21,,Cabo Verde,-,-
22,,Camarões,-,-
23,,Camores,-,-
24,,Canadá,321.755,1.233.545
25,,Catar,5.615,13.665
26,,"Cayman, Ilhas",372,1.121
27,,Chile,109,376
28,,China,1.744,8.882
29,,Chipre,2.590,6.609
30,,Cingapura,-,-
31,,"Cocos (Keeling), Ilhas",-,-
32,,"Cook, Ilhas",-,-
33,,Colômbia,10,30
34,,Congo,20,54
35,,Coreia do Norte,-,-
36,,Coreia do Sul,245,610
37,,Costa do Marfim,-,-
38,,Coveite,20.023,69.921
39,,Croácia,10,25
40,,Curaçao,10,16
41,,Dinamarca,109.922,179.960
42,,Djibuti,-,-
43,,Egito,10,36
44,,Emirados Árabes Unidos,99.808,368.528
45,,Eslovênia,-,-
46,,Espanha,4.554.938,8.685.655
47,,Estados Unidos,13.610.118,36.523.636
48,,Falkland (Ilhas Malvinas),20,24
49,,"Faroé, Ilhas",-,-
50,,Filipinas,317,815
51,,Finlândia,12.480,23.143
52,,França,367,1.342
53,,Gabão,-,-
54,,Gana,100,280
55,,Georgia,-,-
56,,Gibraltar,198,356
57,,Grécia,4.029,9.972
58,,Guadalupe,-,-
59,,Guiana,3.116,7.631
60,,Guiana Francesa,-,-
61,,Guiné-Bissau,-,-
62,,Guine Equatorial,-,-
63,,Honduras,10,33
64,,Hong Kong,27.507,116.504
65,,Ilha de Man,230,805
66,,Ilhas Virgens,-,-
67,,Índia,423,1.020
68,,Indonésia,-,-
69,,Irã,230,481
70,,Iraque,-,-
71,,Irlanda,1.493.198,3.331.821
72,,Islândia,-,-
73,,Itália,10.095,22.820
74,,Japão,476,1.376
75,,Jérsei,-,-
76,,Jordânia,-,-
77,,Letônia,-,-
78,,Líbano,25,65
79,,Libéria,10.468,33.255
80,,Líbia,-,-
81,,Lituânia,15.150,27.340
82,,Luxemburgo,-,-
83,,Macedônia,-,-
84,,Malásia,1.159,13.671
85,,Malta,5.445,15.854
86,,"Marianas do Norte, Ilhas",-,-
87,,Marrocos,10,34
88,,"Marshall, Ilhas",12.996,40.008
89,,Martinica,-,-
90,,Mauricio,-,-
91,,Mauritânia,16,63
92,,Mexico,-,-
93,,Mônaco,-,-
94,,Mongólia,-,-
95,,Montenegro,33,109
96,,Nigéria,-,-
97,,Noruega,255.034,631.068
98,,Omã,-,-
99,,Países Baixos,32.469.515,59.035.980
100,,Palau,-,-
101,,Panamá,10.378,29.282
102,,Paquistão,48,108
103,,Paraguai,450,104
104,,Pitcairn,-,-
105,,Polônia,162,445
106,,Porto Rico,-,-
107,,Portugal,1.525,4.961
108,,Quirguistão,-,-
109,,Reino Unido,16.631.939,37.513.697
110,,Republica Dominicana,-,-
111,,Romênia,-,-
112,,"Rússia,  Federação da",283.727,662.540
113,,Samoa Americana,-,-
114,,São Cristóvão e Névis,-,-
115,,São Tomé e Príncipe,-,-
116,,São Vicente e Granadinas,19,78
117,,Serra Leoa,-,-
118,,Senegal,10,30
119,,Singapura,18.086,139.714
120,,Sri Lanka,-,-
121,,Suazilândia,-,-
122,,Suécia,30,110
123,,Suíça,3.331,33.507
124,,Suriname,25,62
125,,Tailândia,746,2.781
126,,Taiwan,72,280
127,,Tanzânia,-,-
128,,Togo,-,-
129,,Trindade e Tobago,-,-
130,,Tunísia,-,-
131,,"Turcas e Caicos, ilhas",-,-
132,,Turquia,662,1.677
133,,Tuvalu,-,-
134,,Uruguai,95.722,155.667
135,,Vanuatu,73,133
136,,Venezuela,-,-
137,,Vietnã,100,271
138,,"Wallis e Futuna, Ilhas",-,-
139,,Provisão de Navios e Aeronaves,-,-
